agent,1,2,3,4,5,6,7,8,9
TypeA,-218.54417101447137,-196.72007417963218,-233.38026828397534,-190.5106780285012,-172.0861029565192,-219.4345431922577,-164.3990113427921,-143.91986096422016,-182.7276944955087
TypeB,-218.54889495682585,-196.72441223414145,-233.38070585761568,-190.46345543865365,-172.0484878960131,-219.39770001523004,-164.4180942219299,-143.89829110527012,-182.74460156654806
TypeC,-135.36734567061558,-122.77668065850324,-143.9802000815786,-117.18724497831884,-107.25300668486364,-133.61820372129728,-101.86531820060387,-89.60500645086694,-113.40318263978352
TypeD,-135.14257443325226,-122.55840980310585,-143.7519896737633,-116.92233938649721,-106.9879068294862,-133.43523235743365,-101.86304500156362,-89.39521484494327,-113.44090789847556
