agent,1,2,3,4,5,6,7,8,9
TypeA,-218.56998110346376,-196.76070550919684,-233.46205526971247,-190.63841873680462,-172.13232615902243,-219.5439403452982,-164.46163037648765,-144.03592578235381,-182.76734708544933
TypeB,-218.68420333865504,-196.87219399679952,-233.57489540303362,-190.70109304012982,-172.2002401876207,-219.60467436202055,-164.5246630817323,-144.09933614398273,-182.82751256628717
TypeC,-135.3959603675899,-122.81585713677397,-144.04162072500836,-117.28549601951119,-107.30203958133681,-133.6940533720213,-101.9029884975719,-89.71383154751422,-113.42099228278398
TypeD,-135.51062851833086,-122.92774517264361,-144.15500415027873,-117.34859464292448,-107.37012411166249,-133.75531145919695,-101.96604972221513,-89.77726582875677,-113.48112632862234
