agent;weigthed_obj
TypeB;-1300.2889172553037
TypeC;-66.41639479613409
WindOffshore;-1085.344725455332
GasTurbine;-2354.025317116175
TypeA;-1300.3878764846445
Baseload;-3571.4919129631307
Peak;-0.006320803266135044
WindOnshore;-600.5475265039113
TypeD;-66.31626520339569
SolarPanels;-368.41350708109167
