agent,1,0.8,0.6,0.4,0.2
TypeA,-178.42991105794803,-184.59211523329643,-170.91178549440716,-173.56430316377512,-171.5461814754008
TypeB,-178.51951807577927,-184.64667998775946,-170.97031734711695,-173.61402123661873,-171.54603866488807
TypeC,-113.78712577447098,-114.55496080067577,-106.91367739217311,-108.68646938865183,-107.52072694220051
TypeD,-113.84753119818667,-114.61467839874429,-107.08148241772285,-108.66434832736036,-107.3266494098072
