Timestep;total_gen;total_demand;total_cons;PV_cons;tot_SOC;tot_charging;tot_discharging
1.0;12.493701640308593;-11.664;-0.829701551297188;0.0;0.0;3.868491609226227e-6;0.0
2.0;11.998182347149395;-11.206;-0.7921823458919076;0.0;3.481642448303605e-6;2.0928596652748296e-6;0.0
3.0;11.711005703888617;-10.951;-0.7600059042532277;0.0;5.3648679828061214e-6;1.5355407806806876e-6;1.0033146980688104e-7
4.0;11.57856087749376;-10.848;-0.7305610808588601;0.0;6.634815826613056e-6;1.333034868623594e-6;9.328030358874969e-8
5.0;11.642129354255959;-10.935;-0.7071295929498064;0.0;7.730240433379868e-6;1.063066385630364e-6;8.744875855036649e-8
6.0;12.110131822828691;-11.408;-0.7021320912464833;0.0;8.58907388665024e-6;8.966717022977116e-7;8.686271675988493e-8
7.0;13.279350801093315;-12.549;-0.7303510788709608;0.0;9.298717399120877e-6;7.757336345195006e-7;9.010621300946568e-8
8.0;14.905066151416774;-14.13;-0.7750664552565255;0.0;9.89584180151812e-6;6.821061991587216e-7;9.678433923364816e-8
9.0;16.134639547431608;-15.341;-0.7936398808305472;1.9746396237110588e-7;1.0401221659401331e-5;6.050475450701438e-7;1.0618658615322705e-7
10.0;16.586598556604304;-15.811;-0.7755988842204482;4.758928211470719e-6;1.0826751249597281e-5;5.397019503090967e-7;1.1781449483857772e-7
11.0;16.494411870113588;-15.754;-0.7404121801603475;1.538142627059292e-5;1.1180507353009986e-5;4.860475052073159e-7;1.3111954355328262e-7
12.0;16.414441104757447;-15.697;-0.7174414121443935;2.590975904044207e-5;1.147115569275997e-5;4.4098332136666976e-7;1.4604168398129415e-7
13.0;16.262222621467433;-15.558;-0.7042229262327031;3.473585269507978e-5;1.170463704618827e-5;4.031084936754364e-7;1.6250006399079206e-7
14.0;15.977320365923395;-15.279;-0.6983206691443034;4.089186078672787e-5;1.1885720617659676e-5;3.709464392383464e-7;1.804795263097368e-7
15.0;15.69657141994569;-14.992;-0.7045717193852012;4.212109833832085e-5;1.201786305142617e-5;3.427651997067016e-7;1.9993853104139735e-7
16.0;15.817610431565427;-15.078;-0.7396107249700808;3.5511019676309064e-5;1.2103008039002294e-5;3.1636033809365216e-7;2.2066034813926146e-7
17.0;16.160909778023356;-15.366;-0.794910090063315;2.2875293471797225e-5;1.214135589540807e-5;2.9453737276984303e-7;2.42008769289023e-7
18.0;17.08016321759929;-16.192;-0.8881635232084898;8.316174190683414e-6;1.2136338780292595e-5;2.7855157752104667e-7;2.624587232713584e-7
19.0;16.957652941461046;-16.025;-0.932653261664055;9.087615606973214e-8;1.2094212780073232e-5;2.695452112036465e-7;2.7847664848093303e-7
20.0;16.3541971126267;-15.406;-0.9481974711842673;0.0;1.2026187568090925e-5;2.714256017703371e-7;2.807447410405961e-7
21.0;15.545195989932978;-14.601;-0.9441964185786826;0.0;1.195734140729577e-5;3.0734026798452367e-7;2.3651967415984696e-7
22.0;14.699475897611332;-13.772;-0.9274763581669825;0.0;1.1969964293910292e-5;1.9957443775403676e-7;9.533003393926421e-7
23.0;13.798464134559888;-12.903;-0.8954643507008009;0.0;1.1089173709658945e-5;3.334756063096693e-8;9.967084428589053e-6
24.0;13.03460046737389;-12.174;-0.8606007251384131;0.0;4.3551360392577443e-8;1.9411578731453396e-8;9.94679677651823e-6
25.0;11.176963381253648;-10.439;-0.7379632420727047;0.0;0.0;4.1381120781533394e-6;0.0
26.0;10.884360352478536;-10.178;-0.7063603439472255;0.0;3.7243008703380056e-6;2.428445024228205e-6;0.0
27.0;10.773783149957207;-10.094;-0.6797833600421127;0.0;5.909528962056355e-6;1.8338496842969045e-6;8.47286042352671e-8
28.0;10.769103366264796;-10.115;-0.6541036052060482;0.0;7.465236870321754e-6;1.6406789584445846e-6;7.630155521723947e-8
29.0;11.048585019437706;-10.408;-0.6405852989956711;0.0;8.856323391791432e-6;1.3802550157617157e-6;6.838716872660331e-8
30.0;11.971416157222528;-11.313;-0.6584164617721057;0.0;1.0021693548132805e-5;1.2268640678951248e-6;6.659613072593288e-8
31.0;12.860759549308385;-12.192;-0.6687598933594657;2.8385883967828372e-6;1.1050885356601577e-5;1.12276480064932e-6;6.580732147175615e-8
32.0;13.075110695590007;-12.432;-0.6431110496767296;3.7452331529719754e-5;1.1987161360095145e-5;1.0503099024423145e-6;6.574456770868534e-8
