agent_type;agent;Q_cfd;Q_cfd_total;share_cfd;Q_cfd_bar;cfd_penalty;ζ_cfd;cfd_premium
Gen;WindOffshore;1.605647002560369e-10;4.999997289757583;NaN;0.0005928907407161347;2.5346283572631974e-6;11.76012693231433;1.888107358125933e-9
Gen;GasTurbine;0.0;4.999997289757583;NaN;0.0005928905827270459;2.534628379284859e-6;11.76012693231433;0.0
Gen;Baseload;0.0;4.999997289757583;NaN;0.0005928905827270459;2.534628379284859e-6;11.76012693231433;0.0
Gen;Peak;0.0;4.999997289757583;NaN;0.0005928905827270459;2.534628379284859e-6;11.76012693231433;0.0
Gen;WindOnshore;7.295095816545021e-9;4.999997289757583;NaN;0.0005928976281184995;2.5346262442952e-6;11.76012693231433;8.578426059705795e-8
Gen;SolarPanels;4.999997282301923;4.999997289757583;NaN;5.000590564800688;2.537980407169016e-6;11.76012693231433;58.79581031366191
Cons;TypeC;-1.2257359478159584;4.999997289757583;0.2451473032418528;-1.224931845205684;4.6621702907145846e-6;11.76012693231433;-14.41363549086663
Cons;TypeA;-1.2901279617486852;4.999997289757583;0.2580257120003189;-1.289341119812869;4.464164456763342e-6;11.76012693231433;-15.170832029813601
Cons;TypeD;-1.237739508964213;4.999997289757583;0.24754801658475226;-1.2369853256206789;4.10127661787385e-6;11.76012693231433;-14.55478738846052
Cons;TypeB;-1.253040278778202;4.999997289757583;0.25060817196659224;-1.2522967342784714;3.986383894982737e-6;11.76012693231433;-14.734711718183783
