agent;weigthed_obj
TypeB;-1275.7678637899949
TypeC;-53.77489336574169
WindOffshore;-1160.1908582324395
GasTurbine;-2604.1246986970655
TypeA;-1275.8664628724455
Baseload;-3831.4043059877004
Peak;-0.21791973836661782
WindOnshore;-636.5299311642812
TypeD;-53.69431124636242
SolarPanels;-383.45163920438426
