iteration;primal_EOM;dual_EOM;rho_EOM;primal_cfd;dual_cfd;rho_cfd;zeta_cfd;imbalance_cfd
1;550.3868861089892;0.0;0.011000000000000001;34.999999999996874;0.0;0.011000000000000001;-0.0034999999999996874;34.999999999996874
2;441.83373598791866;0.6427889842086838;0.012100000000000001;34.9999998690818;0.011067971769190728;0.012100000000000001;-0.007349999985598685;34.9999998690818
3;391.16212729631917;0.46603697037153835;0.013310000000000002;34.99999939448734;0.01217476878103091;0.013310000000000002;-0.011584999912331653;34.99999939448734
4;359.6538245609659;0.36469849020499395;0.014641000000000003;34.99991936253417;0.013392215073735704;0.014641000000000003;-0.016243489179484955;34.99991936253417
5;336.7180704018486;0.3209348000368429;0.016105100000000004;34.99997939290859;0.014731461829348967;0.016105100000000004;-0.0213678361624007;34.99997939290859
6;314.6448954159301;0.346251560486591;0.017715610000000007;35.00000041609288;0.016204617723442772;0.017715610000000007;-0.027004621229412877;35.00000041609288
7;291.44345759413005;0.39690716836578344;0.019487171000000008;34.9999979724771;0.0178250782480928;0.019487171000000008;-0.03320508437022483;34.9999979724771
8;269.2486827624708;0.42429423496186053;0.021435888100000012;34.9999745570907;0.01960757296049996;0.021435888100000012;-0.040025589262121596;34.9999745570907
9;251.0891121901488;0.41689327573028595;0.023579476910000015;34.999998805384834;0.02156834519958716;0.023579476910000015;-0.04752814984104523;34.999998805384834
10;236.88569992324872;0.4017037034984925;0.025937424601000018;35.000000017746885;0.02372518053461829;0.025937424601000018;-0.05578096676372986;35.000000017746885
11;225.60502809664362;0.3891548459856361;0.02853116706110002;34.99999869769325;0.026097697603799323;0.02853116706110002;-0.06485906503629503;34.99999869769325
12;216.62668564433363;0.36808401607604924;0.031384283767210024;34.99997962155198;0.0287074517221137;0.031384283767210024;-0.07484496769347099;34.99997962155198
13;209.60190367398252;0.3388102909355966;0.03452271214393103;34.99999449177635;0.031578210308864554;0.03452271214393103;-0.08582946528327795;34.99999449177635
14;203.23950173015515;0.3328769715157623;0.03797498335832414;34.999999070916815;0.03473603588135996;0.03797498335832414;-0.0979124142129091;34.999999070916815
15;196.68717322972213;0.35060708465971374;0.04177248169415655;34.99999984106985;0.03820964030991903;0.04177248169415655;-0.11120365832796884;34.99999984106985
16;189.4094943706152;0.3908270136596258;0.04594972986357221;34.99999889862094;0.042030603209156026;0.04594972986357221;-0.12582402646085028;34.99999889862094
17;181.08061015913586;0.45193301083670356;0.050544702849929436;34.99999941535217;0.046233664212644666;0.050544702849929436;-0.14190643164445646;34.99999941535217
18;171.66544000078508;0.5344713804087226;0.05559917313492239;35.00000001198228;0.05085703150083985;0.05559917313492239;-0.15959707764798817;35.00000001198228
19;161.24716226752406;0.6319066505092239;0.06115909044841463;35.00000035122793;0.05594273519315591;0.06115909044841463;-0.17905678844049083;35.00000035122793
20;150.2754087137114;0.7286928837596639;0.0672749994932561;35.00000526595533;0.06153701735404203;0.0672749994932561;-0.20046247331804634;35.00000526595533
21;139.27548084542585;0.8030057308228666;0.07400249944258172;34.999999654731724;0.0676907082372705;0.07400249944258172;-0.22400872290840676;34.999999654731724
22;128.69921973954857;0.8608265260183539;0.0814027493868399;34.99999975441589;0.07445977927243452;0.0814027493868399;-0.249909597531572;34.99999975441589
23;118.76063249865629;0.9079031652358656;0.0895430243255239;35.000000381757864;0.0819057586677443;0.0895430243255239;-0.27840056012772735;35.000000381757864
24;109.77395761642418;0.9329133391655394;0.09849732675807629;34.999999313794504;0.09009633178559694;0.09849732675807629;-0.30974061802721153;34.999999313794504
25;101.84139288704004;0.9542627136568562;0.10834705943388392;34.99999996882139;0.0991059668188868;0.10834705943388392;-0.3442146823618282;34.99999996882139
26;94.94826911437836;0.9626171325307803;0.11918176537727232;35.00000343600141;0.10901657430030652;0.11918176537727232;-0.38213615688649405;35.00000343600141
27;88.97092923804802;0.9853475028789289;0.13109994191499957;34.99999897651336;0.11991821645150166;0.13109994191499957;-0.42384977354872994;34.99999897651336
28;83.9298145967203;0.983528158481657;0.14420993610649954;34.99999975710567;0.13191004103781784;0.14420993610649954;-0.46973475290054545;34.99999975710567
29;79.70281137575402;0.9899552226978606;0.1586309297171495;35.00000123451432;0.1451010512665675;0.1586309297171495;-0.5202082323181126;35.00000123451432
30;76.15994394330042;0.9845801655011418;0.17449402268886446;34.99999784110031;0.1596111409199;0.17449402268886446;-0.5757290542944323;34.99999784110031
31;73.18703033772371;0.9903850538904291;0.19194342495775094;35.00000309784871;0.17557228138373365;0.19194342495775094;-0.6368019676410958;35.00000309784871
32;70.47947113100095;0.9712874605286773;0.21113776745352605;35.0000089038618;0.19312954155725595;0.21113776745352605;-0.7039821834666858;35.0000089038618
33;68.07091895241795;0.9583568391282578;0.23225154419887867;35.00000654082031;0.21244248136789062;0.23225154419887867;-0.7778804158855619;35.00000654082031
34;65.81910311055879;0.9625174653652926;0.25547669861876654;35.00002509275254;0.2336868534144443;0.25547669861876654;-0.8591685146334747;35.00002509275254
35;63.64587536444913;0.9847002919305938;0.2810243684806432;34.99991398949417;0.25705472332330903;0.2810243684806432;-0.9485851394132422;34.99991398949417
36;61.44211036396255;1.02688789729126;0.30912680532870757;34.99988685012513;0.2827599759002596;0.30912680532870757;-1.046943350402746;34.99988685012513
37;59.333552135661655;1.1323391620944685;0.34003948586157834;25.63179024269886;2.756424110712503;0.34003948586157834;-1.1261780847285565;25.63179024269886
38;57.16584294466362;1.2185649974401116;0.3740434344477362;24.02022345147674;0.2957315066969715;0.3740434344477362;-1.2078563290557602;24.02022345147674
39;54.53799894422049;1.4339202044671564;0.41144777789250986;23.741245021167867;0.25972304072229335;0.41144777789250986;-1.2966588973135886;23.741245021167867
40;51.55454525606944;1.6562837014937055;0.4525925556817609;23.559333910360085;0.2810252023983491;0.4525925556817609;-1.3935932531740418;23.559333910360085
41;48.47607167246416;1.7662194382514953;0.497851811249937;23.2278205416771;0.30901952783145153;0.497851811249937;-1.4987206397927912;23.2278205416771
42;45.34494326726224;1.8929286201040403;0.5476369923749307;13.331730316251225;3.1184797211472337;0.5476369923749307;-1.5650929006432048;13.331730316251225
