risk,TypeC,TypeA,TypeD,TypeB
0.2,-20.758154406535294,570.5936813303484,-20.80018182762871,200.12099389090488
0.4,-14.543397424433275,577.9552260456841,-14.541014612103867,206.81380792572185
0.6,-15.352379796210906,575.8027412174417,-15.353258381745096,205.50788511033923
0.8,-13.098796906650113,577.0478789905327,-13.018781779004101,207.37036807086963
1,-8.819732182160633,581.7528475071846,-8.820714946627588,211.8494493137962
