risk,TypeC,TypeA,TypeD,TypeB
0.2,-45.332470286290466,542.8564125923948,-45.3319317190707,174.27796920148756
0.4,-38.48256509770594,549.4674376168736,-38.49049042782052,181.03293892837237
0.6,-29.631739429369038,559.2173401330901,-29.63816747235787,190.2527283015914
0.8,-21.913635531937395,567.7798376219313,-21.915442613731358,198.36516964455004
1,-13.451275736079918,577.1215311021297,-13.452028430118665,207.21807553156134
