agent_type;agent;Q_cfd;Q_cfd_total;share_cfd;Q_cfd_bar;cfd_penalty;ζ_cfd;cfd_premium
Gen;WindOffshore;6.189778200669955e-10;4.433167092733003;NaN;-0.0008801263857416035;2.089189901249348e-6;12.53356379637212;7.758320914570363e-9
Gen;GasTurbine;0.0;4.433167092733003;NaN;-0.000880127635475092;2.0891928957463635e-6;12.53356379637212;0.0
Gen;Baseload;0.0;4.433167092733003;NaN;-0.000880127635475092;2.0891928957463635e-6;12.53356379637212;0.0
Gen;Peak;0.0;4.433167092733003;NaN;-0.000880127635475092;2.0891928957463635e-6;12.53356379637212;0.0
Gen;WindOnshore;1.125603095923997;4.433167092733003;NaN;1.1246247427285136;2.5815382267424525e-6;12.53356379637212;14.10840543473286
Gen;SolarPanels;3.307563996190028;4.433167092733003;NaN;3.307502505699876;1.019773065991103e-8;12.53356379637212;41.45728989956954
Cons;TypeC;-0.596818185435246;4.433167092733003;0.13460381770378294;-0.598111140236321;4.508726700880317e-6;12.53356379637212;-7.480570159617413
Cons;TypeA;-1.6255179673677191;4.433167092733003;0.366612361173649;-1.6267882496081139;4.351987881179298e-6;12.53356379637212;-20.374381172291262
Cons;TypeD;-0.6055996952677273;4.433167092733003;0.13658436182509395;-0.6067960307945359;3.860052616211362e-6;12.53356379637212;-7.590638354609393
Cons;TypeB;-1.5955596019601597;4.433167092733003;0.35985567973459126;-1.5969113184972519;4.927861336767592e-6;12.53356379637212;-19.99888045906271
