Consumer;2018_base;2018_high;2018_low;2021_base;2021_high;2021_low;2022_base;2022_high;2022_low
TypeC;2.2650716924310643e-7;5.040891264407321e-7;2.1015845530492072e-7;3.836894917785827e-6;1.5093066987326154e-6;4.283692074835699e-6;9.164099257219505e-8;2.4747935079005856e-6;1.330396814047674e-6
TypeA;2.2527205234545988e-7;4.89211417376012e-7;1.9556267250031567e-7;3.87963165060512e-6;1.4976366120578177e-6;4.32859169707811e-6;8.524008410226713e-8;2.5076151506375766e-6;1.32837410404818e-6
TypeD;2.170703814474706e-7;4.893773897229892e-7;1.943725893571724e-7;3.836343305252399e-6;1.4891430173413767e-6;4.280752886387518e-6;8.310174615111521e-8;2.415962329305188e-6;1.3175613251537044e-6
TypeB;2.1793229620925558e-7;4.90264816299657e-7;1.891482266369593e-7;3.870910753711598e-6;1.4986312653064715e-6;4.317204527648499e-6;8.99487599959059e-8;2.439697981415634e-6;1.3304210972897579e-6
