Iteration;Timestep;Generator;g_cfd;cfd_payout_gen
50;8;WindOnshore;0.0;0.0
50;9;WindOnshore;0.0;0.0
50;10;WindOnshore;0.0;0.0
50;11;WindOnshore;0.0;0.0
50;12;WindOnshore;0.0;0.0
50;13;WindOnshore;0.0;0.0
50;14;WindOnshore;0.0;0.0
50;15;WindOnshore;0.0;0.0
50;16;WindOnshore;0.0;0.0
50;17;WindOnshore;0.0;0.0
50;18;WindOnshore;0.0;0.0
50;19;WindOnshore;0.0;0.0
50;20;WindOnshore;0.0;0.0
50;21;WindOnshore;0.0;0.0
50;22;WindOnshore;0.0;0.0
50;23;WindOnshore;0.0;0.0
50;24;WindOnshore;0.0;0.0
50;1;SolarPanels;0.0;0.0
50;2;SolarPanels;0.0;0.0
50;3;SolarPanels;0.0;0.0
50;4;SolarPanels;0.0;0.0
50;5;SolarPanels;0.0;0.0
50;6;SolarPanels;0.0;0.0
50;7;SolarPanels;0.0;0.0
50;8;SolarPanels;0.0;0.0
50;9;SolarPanels;0.0;0.0
50;10;SolarPanels;0.0;0.0
50;11;SolarPanels;0.0;0.0
50;12;SolarPanels;0.0;0.0
50;13;SolarPanels;0.0;0.0
50;14;SolarPanels;0.0;0.0
50;15;SolarPanels;0.0;0.0
50;16;SolarPanels;0.0;0.0
50;17;SolarPanels;0.0;0.0
50;18;SolarPanels;0.0;0.0
50;19;SolarPanels;0.0;0.0
50;20;SolarPanels;0.0;0.0
50;21;SolarPanels;0.0;0.0
50;22;SolarPanels;0.0;0.0
50;23;SolarPanels;0.0;0.0
50;24;SolarPanels;0.0;0.0
