Section;AgentType;Agent;primal_CfD;dual_CfD;λ_CfD;ζ_cfd;Q_cfd;Q_cfd_gen_tot;Q_cfd_con_tot;share_cfd;g_cfd_total;cfd_payout_sum;cfd_premium;cfd_penalty;Q_cfd_bar
SUMMARY;ALL;ALL;4.6124058446931;0.600519341432408;12.0;-50.236653927646806;;68.3875691553069;72.999975;;;;;;
AGENT;Cons;TypeA;;;;;15.750000000000002;;;0.21575349854571868;;0.0;-796.6032399454133;0.12674254912970184;15.246526963721559
AGENT;Cons;TypeB;;;;;38.16665;;;0.5228310009695208;;0.0;-1930.392193515086;0.12674254912974448;37.663176963721554
AGENT;Cons;TypeC;;;;;19.083325;;;0.2614155004847604;;0.0;-965.196096757543;0.12674254912971605;18.579851963721556
AGENT;Gen;Baseload;;;;;68.38756910456821;;;0.9999999992580715;410.3254145170884;3418.9244920704077;-3458.905340996183;0.17089118288822647;68.97219066230956
AGENT;Gen;MidMerit;;;;;1.2824237014448981e-12;;;1.87522925187257e-14;5.0751929880877276e-12;4.1799025059567983e-11;-6.486240479706637e-11;0.12674254912970637;0.503473036279704
AGENT;Gen;Peak;;;;;6.6842719775303694e-12;;;9.774103773670491e-14;1.664868699735811e-14;1.3859082741336698e-13;-3.380769977128271e-10;0.12674254912952837;0.5034730362847523
AGENT;Gen;SolarPanels;;;;;5.9188680529430326e-12;;;8.654888784687452e-14;5.554380308350874e-12;4.9219816065669884e-11;-2.993644106529409e-10;0.1267425491296463;0.503473036284221
AGENT;Gen;WindOffshore;;;;;4.659887051504689e-8;;;6.813938715853713e-10;1.5048323650035533e-7;1.2612690130055754e-6;-2.356876903497342e-6;0.12674254762607873;0.5034730798907813
AGENT;Gen;WindOnshore;;;;;4.125934934578824e-9;;;6.033165070115158e-11;7.539588311374778e-9;6.278132220730405e-8;-2.0868146899615605e-7;0.12674254898435452;0.5034730401156581
