Timestep;Price;G_MidMerit;G_Baseload;G_Peak;G_WindOnshore;G_TypeC;G_TypeA;G_TypeB;Demand
1.0;181.50300544257945;2499.696574830702;3128.2860720347053;1092.9165996416784;2021.708515;-79.80368037108246;-28.334616959791365;-166.9030882581804;-8300.0
2.0;180.63205593820425;2483.375521798117;3109.230142846743;1080.8015418219968;1987.8325750000001;-92.86785350622556;-16.43360781697052;-178.11558412818638;-8210.0
3.0;173.69838307824105;2377.754029532125;2989.430972486639;997.6228076725705;1943.6796649999999;-39.76346852846373;-20.60667100402344;-79.84279559737345;-8020.0
4.0;171.43875687340545;2340.898088605553;2947.1819218294177;969.2123364093873;1901.0492649999999;-25.191611437052384;-26.727395727065964;-50.36918479157491;-7914.0
5.0;169.05578661875066;2307.348241931541;2909.65522621826;942.0689743366207;1930.4210999999998;-31.417878745362806;-15.245244169831157;-62.835171507866484;-7843.0
6.0;165.47832316932846;2254.490356022815;2850.0112305556995;900.0145605240184;1931.943615;-18.483392274103853;-39.242788647612834;-36.9663887856348;-7712.0
7.0;163.5987171147024;2225.833458392013;2817.552151503473;877.401100567376;1957.0651;-18.322035198404482;-67.3604799497251;-42.66209918479704;-7627.0
8.0;157.09834637436413;2134.792594484176;2715.8677336507208;803.495444365242;1994.0495050000002;-13.19325815698856;-24.35752037228728;-44.679186818773246;-7453.0
9.0;151.608467230616;2048.4253964202403;2617.567934022875;736.0763380530828;1987.7057;41.78909522015767;-29.87856325573104;-9.889830952661452;-7300.0
10.0;149.58212201088043;2012.7027493912906;2576.282074797022;709.0475706657023;1954.46414;125.404633521573;-44.782746767805776;-53.525827733308894;-7199.0
11.0;150.4722218708177;2022.482263100333;2586.5333765602336;717.8723939989804;1864.5723650000002;135.55285712444672;-34.65154360415225;-43.395498967324265;-7163.0
12.0;150.9967651970416;2025.7345913609763;2589.236434046666;721.7473848993089;1772.523695;137.7696662810652;-32.45175658962871;-41.1965864361614;-7084.0
13.0;150.96974782262126;2022.5666142566897;2585.1270092074114;719.9319734747826;1727.926715;133.03964927937815;-37.19879743570348;-45.94450185339345;-7016.0
14.0;151.30227182768024;2027.5025483787504;2590.6934222139676;723.8525373712002;1709.78342;138.58153533158634;-31.67393693034786;-40.42051600636656;-7027.0
15.0;151.3496594201678;2027.6043060142974;2590.6918674859335;724.0854404158496;1697.666745;138.28152862424577;-31.990970887434415;-40.738424709076035;-7014.0
16.0;151.09444217660308;2022.5951092919188;2584.8068529253173;720.4152444113722;1692.27451;131.80977652138276;-38.47975194302025;-47.22808059768225;-6976.0
17.0;150.73708245770476;2017.0325870593952;2578.485087036969;716.0612916123879;1709.022165;124.95024335621267;-45.35631576399486;-54.10551933915162;-6958.0
18.0;149.51889209395094;2000.8271067762446;2560.6227601341216;702.6340193785513;1803.4180450000001;106.23261259639831;-64.09097888285896;-72.84105746600798;-6956.0
19.0;148.74978492008623;1991.7859897931269;2550.9778554061636;694.7002646912869;1873.70745;96.12256960570846;-74.2180559359685;-82.96900961469191;-6974.0
20.0;148.6214252687254;1989.7779481937455;2548.702317413537;693.1169666123507;1878.7190600000001;93.49106332149945;-76.86659798614045;-85.61842684796733;-6966.0
21.0;148.2417859138041;1986.7837990078954;2545.9049878556475;689.957974006514;1935.11552;90.52522152515735;-79.84947725217309;-88.6021813846621;-7007.0
22.0;148.17202930702533;1985.1622678495028;2543.9603387030716;688.8229600944449;1930.4210999999998;88.20117258767054;-82.19056536319836;-90.94414485397257;-6991.0
23.0;148.3097519560694;1988.896894983105;2548.516599250952;691.3335835255749;1949.38909;92.81350611840404;-77.59527270997515;-86.34972764672732;-7034.0
24.0;145.3158115135892;1952.1469843892341;2508.3090137235854;660.394645171688;1936.76491;154.11234439737595;-9.480083277474598;-17.884360017322418;-7106.0
