Timestep;Price;G_WindOffshore;G_MidMerit;G_Baseload;G_Peak;G_WindOnshore;G_SolarPanels;G_TypeC;G_TypeA;G_TypeB;Demand
1.0;17424.310090403545;393.416928;5000.0;500.0;5000.0;254.28571449999998;2.5;-120055.1;-24010.35;-240125.09936430896;-0.12007
2.0;16685.12491222651;376.1755485;5000.0;500.0;5000.0;260.4081635;2.5;-115075.1;-23014.350000000002;-230165.09867955904;-0.11509
3.0;16203.804387956312;393.939394;5000.0;500.0;5000.0;246.53061200000002;2.5;-111835.09999999999;-22366.35;-223685.0984948692;-0.11185
4.0;15919.853322371337;393.416928;5000.0;500.0;5000.0;255.102041;2.5;-109925.09999999999;-21984.35;-219865.0983901719;-0.10994
5.0;16043.227511070127;392.894462;5000.0;500.0;5000.0;211.8367345;2.5;-110745.1;-22148.35;-221505.09818867937;-0.11076
6.0;16927.630508904957;389.23719950000003;5000.0;500.0;5000.0;235.510204;2.5;-116705.09999999999;-23340.349999999995;-233425.09776207752;-0.11672
7.0;19275.74327268077;371.99582050000004;5000.0;500.0;5000.0;248.979592;2.5;-132515.1;-26502.35;-265045.09681031253;-0.13253
8.0;22719.86176389895;356.84430499999996;5000.0;500.0;5000.0;219.5918365;2.5;-155695.0000000003;-31138.250000000044;-311405.02461211436;-0.15571
9.0;24788.155410809355;371.473354;5000.0;500.0;5000.0;217.9591835;2.5;-169624.96224926968;-33924.21224926948;-339264.965067193;-0.16964
10.0;25365.26468686376;291.53605;5000.0;500.0;5000.0;191.8367345;2.5;-173484.90000000005;-34696.15000000001;-346984.91694683785;-0.1735
11.0;25400.97317477137;394.984326;5000.0;500.0;5000.0;168.1632655;2.5;-173744.90000000005;-34748.15;-347504.91676060867;-0.17376
12.0;25056.372421614968;373.5632185;5000.0;500.0;5000.0;231.8367345;2.5;-171434.90000000014;-34286.15000000002;-342884.9339506318;-0.17145
13.0;24458.83697019912;380.355277;5000.0;500.0;5000.0;239.5918365;2.5;-167414.99999999994;-33482.249999999985;-334844.99511067016;-0.16743
14.0;24435.113112802115;392.371996;5000.0;500.0;5000.0;226.530612;2.5;-167254.99999999994;-33450.249999999985;-334524.9976341224;-0.16727
15.0;24401.931033450786;392.894462;5000.0;500.0;5000.0;240.0;2.5;-167034.99999999994;-33406.24999999999;-334084.9970257087;-0.16705
16.0;24639.2080068065;392.894462;5000.0;500.0;5000.0;249.387755;2.5;-168634.99999999983;-33726.24999999997;-337284.98237242724;-0.16865
17.0;25221.476722865144;389.75966550000004;5000.0;500.0;5000.0;249.387755;2.5;-172554.90000000008;-34510.150000000016;-345124.92247488024;-0.17257
18.0;26531.429732106044;387.6698015;5000.0;500.0;5000.0;208.5714285;2.5;-181364.90000000002;-36272.15;-362744.907515865;-0.18138
19.0;25620.658062224764;386.62486950000005;5000.0;500.0;5000.0;220.4081635;2.5;-175234.90000000005;-35046.15000000001;-350484.9118221281;-0.17525
20.0;24637.65028681547;387.1473355;5000.0;500.0;5000.0;175.51020400000002;2.5;-168604.99999999962;-33720.24999999994;-337224.92549321457;-0.16862
21.0;23242.951144693587;386.62486950000005;5000.0;500.0;5000.0;140.0;2.5;-159204.99999999997;-31840.25;-318424.99807299365;-0.15922
22.0;21836.742871771006;392.894462;5000.0;500.0;5000.0;209.7959185;2.5;-149754.99999999997;-29950.25;-299524.9995472264;-0.14977
23.0;20026.624458413644;390.2821315;5000.0;500.0;5000.0;205.71428550000002;2.5;-137564.99999999994;-27512.24999999999;-275144.992767256;-0.13758
24.0;18452.823715010552;383.490073;5000.0;500.0;5000.0;160.0;2.5;-126955.00000000001;-25390.249999999996;-253925.00056326803;-0.12697
25.0;15352.422396870188;289.446186;5000.0;500.0;5000.0;35.9183675;2.5;-106025.09999999998;-21204.35;-212065.0988766276;-0.10604
26.0;14947.735728475123;241.9017765;5000.0;500.0;5000.0;22.040816500000002;2.5;-103285.09999999998;-20656.35;-206585.0980429057;-0.1033
27.0;14774.80532529841;219.9582025;5000.0;500.0;5000.0;21.22449;2.5;-102115.1;-20422.350000000002;-204245.09756968456;-0.10213
28.0;14806.834032829964;196.447231;5000.0;500.0;5000.0;21.632653;2.5;-102325.1;-20464.35;-204665.09733474857;-0.10234
29.0;15520.482502348228;162.4869385;5000.0;500.0;5000.0;33.877551;2.5;-107125.09999999999;-21424.35;-214265.09682021677;-0.10714
30.0;17454.46579201732;129.04911199999998;5000.0;500.0;5000.0;16.734694;2.5;-120135.09999999996;-24026.35;-240285.09293986004;-0.12015
31.0;19941.24577974571;31.8704285;5000.0;500.0;5000.0;13.0612245;2.5;-136855.00000000003;-27370.250000000007;-273725.00402065984;-0.13687
32.0;21441.44192734991;28.213166;5000.0;500.0;5000.0;10.2040815;2.5;-146954.9000000001;-29390.15000000002;-293924.9361825849;-0.14697
