agent;weigthed_obj
TypeB;-194.09970503178795
TypeC;25.98624871086713
WindOffshore;-1124.6646896629245
GasTurbine;-2530.120615938271
TypeA;-563.2748834096453
Baseload;-3754.0512402193854
Peak;-0.008309778342663776
WindOnshore;-623.6252327471593
TypeD;25.99695037201832
SolarPanels;-376.4799326364955
