agent,1,2,3,4,5,6,7,8,9
TypeA,-218.59078127836943,-196.79871430038006,-233.49578850946926,-190.60633008082652,-172.21137106666703,-219.58939860641416,-164.42465047737358,-144.08075870750233,-182.82690640788857
TypeB,-218.67977417585212,-196.88465031804674,-233.58498344718237,-190.60340656201606,-172.21635069732292,-219.62828477477126,-164.43217758412948,-144.09149835385745,-182.8279772776094
TypeC,-135.39112907334385,-122.80830093435512,-144.04464559785106,-117.1699146553731,-107.25249293794742,-133.7052857344653,-101.79668336975257,-89.64886467480554,-113.38151468764819
TypeD,-135.4787571241385,-122.88802207637517,-144.1353723278414,-117.17668553778738,-107.26982773243104,-133.7395289886182,-101.81206473520939,-89.66839065004201,-113.39064875280168
