agent,1,2,3,4,5,6,7,8,9
TypeA,-134.43230409591993,-145.45233711334822,-141.23789488494495,-174.39726728299073,-176.51442909011683,-183.424132652255,-192.58562594623712,-192.14546223539898,-198.01661614845253
TypeB,-134.54220310566032,-145.54414816334256,-141.34877395432116,-174.44528377317073,-176.55704805726361,-183.47922234532103,-192.61040679290412,-192.15826245788094,-198.047507474188
TypeC,-88.94781248757181,-94.34111373215607,-93.17069222888574,-108.16259701108198,-109.47361983074592,-113.69322893843615,-117.07228307849343,-115.80407699307504,-121.5576722291118
TypeD,-89.15852147028669,-94.58561516880806,-93.36807354985883,-108.27849300453649,-109.61663050975254,-113.78420783332948,-117.23717333326327,-116.00797502680454,-121.69665186286592
