agent,1,2,3,4,5,6,7,8,9
TypeA,-218.73830029460197,-196.92676627635535,-233.64468020598838,-190.78248721315168,-172.25801637322664,-219.68566977051475,-164.46393806775902,-144.10638914245712,-182.84691198451867
TypeB,-218.84731795913024,-197.0324383810268,-233.7528348781441,-190.839359457456,-172.3195206812581,-219.74144504204855,-164.52124642967357,-144.1640677415039,-182.90139844338353
TypeC,-135.5045106299309,-122.91468258058283,-144.15835900109374,-117.37357830209402,-107.38236010903607,-133.78621025233429,-101.90946421353202,-89.76068502457764,-113.48098072328798
TypeD,-135.6198816696145,-123.02724994849899,-144.27233545102698,-117.43730633329629,-107.45107826379598,-133.84812841863427,-101.97308909790183,-89.82473183380515,-113.54181180506156
