Generator;2018_base;2018_high;2018_low;2021_base;2021_high;2021_low;2022_base;2022_high;2022_low
WindOffshore;1863.6696997008146;1737.9046587983537;1810.1751479762404;1218.2949919478324;1197.5980275636668;1275.0295167155004;901.8846515205953;912.1785629540066;859.4269924896596
GasTurbine;3619.1660344914385;3145.4538143952423;3986.85558356775;2754.40786952493;2401.7946975848413;3570.4812165902317;2125.31301479226;1725.2636832141259;2639.076333404956
Baseload;4894.788379330299;4372.32124159576;5274.075834382834;4021.3600462262184;3612.364980164936;4880.635799727155;3340.662353221231;2906.662880960261;3857.9018914941485
Peak;0.06093536908267044;0.04616009984764806;0.08385107996834211;0.043269501212758125;0.03364464682873415;0.05377687526871041;0.052200684147574845;0.041148833159831484;0.03126611186140463
WindOnshore;1081.7987218444962;1091.75160342074;929.1768291963807;637.625299364085;687.0093419040173;585.6960367807108;514.6721195922848;554.3014745190061;457.1436081047379
SolarPanels;589.5042693205182;592.5446618424018;573.1403629045723;324.220238177781;358.6775384898317;304.1681401281815;370.27263450118767;388.73619041979055;334.0148536594869
