scen_number;iteration;primal_residual;dual_residual
1;1;316.65104657410757;0.0
1;1;260.54168991709577;39.43132939391907
1;2;239.22594533064267;27.57512572468484
1;3;232.1915675070357;16.742696717021555
1;4;231.04938546954196;7.459221130143817
1;5;230.86100456744703;3.62625229546693
1;6;230.8372352221622;1.1720500421765838
1;7;230.8372354490518;1.2113895385650151e-5
1;8;230.83723544467554;3.21329532344536e-6
1;9;230.83723544782313;2.6000138082890976e-6
1;10;230.83723544449177;2.6203158297088622e-6
1;11;230.83723545323465;6.1987136843722995e-6
1;12;230.8372354340509;7.244131580348438e-6
1;13;230.83723545209463;7.996675494880554e-6
1;14;230.80158050483038;1.0445360332952054
1;15;230.4701712750687;4.422303421240675
1;16;229.34548063031397;10.809059731850565
1;17;226.8288521265799;20.218591228397376
1;18;222.61940290295988;32.10832082841887
1;19;216.5493269506777;45.83891614326683
1;20;208.53717057913576;61.10779795182684
1;21;198.93158118850263;76.61246551960657
1;22;188.39294908557778;90.18995123885296
1;23;177.66901171913983;101.50094309172091
1;24;167.848740270291;96.5428417588549
1;25;159.24285955588743;89.11701364532233
1;26;151.94462761964888;81.75568151088785
1;27;145.68686334472477;75.83798137099656
1;28;140.48258001664092;69.08767280238928
1;29;136.14978605070687;69.31240900986748
1;30;132.77200678136336;61.094609492014015
1;31;130.15456237856205;59.19617635889191
1;32;128.1971936899122;56.05772237320011
1;33;126.64601878518799;55.77250903141636
1;34;125.38028166502758;56.48437653945567
1;35;124.31287515290678;57.07531364827681
1;36;123.34532434072257;56.92107144070419
1;37;122.27036196004579;60.515815447234864
1;38;120.89502448568052;68.5932951829142
1;39;119.33677453012527;70.24550487361556
1;40;117.58217726000713;72.6983594472341
1;41;115.60577539527257;74.99646119862089
1;42;113.37152645480731;78.79235122603667
1;43;110.8838750223265;83.1631592548626
1;44;108.15692766678019;87.03365610816918
1;45;105.2107535766973;91.09386919787454
1;46;102.07866152659031;95.02623489623784
1;47;98.80004175671998;98.58794642429999
1;48;95.40563509174963;101.46245666688417
1;49;91.92858616693306;103.74753109915555
1;50;88.4102174335004;105.39664104483403
1;51;84.88099623042481;106.3650753477073
1;52;81.37929539286907;106.29652812400442
1;53;77.9331306229429;105.69316902493792
1;54;74.55900617176236;104.94626413523804
1;55;71.28014700450717;103.47479047055077
1;56;68.10599711482527;101.64578720249436
1;57;65.04875860124153;99.60295430160674
1;58;62.11794989913085;96.55228802243633
1;59;59.306861822521526;93.70976296587536
1;60;56.628165336769996;91.08895580681673
1;61;54.08952940418045;88.32092425138994
1;62;51.689670898729936;85.36685169726502
1;63;49.413199687964756;82.26093252178386
1;64;47.248091394024215;79.14678146941165
1;65;45.195707228952614;76.13234081591789
1;66;43.25046328663745;73.1545036729766
1;67;41.408441141996484;70.22355407016275
1;68;39.67541049465425;67.36563837999351
1;69;38.04444881819083;64.54309341005889
1;70;36.50962473228815;61.7719995488003
1;71;35.07157041713742;59.06969466016047
1;72;33.72254818811846;56.43363549485996
1;73;32.455427633979255;53.88119037562254
1;74;31.26307863398479;51.42298119254148
1;75;30.14021957578383;49.06438001717286
1;76;29.081749261698583;46.80806645008476
1;77;28.08390120380789;44.6548521613539
1;78;27.141286303399916;42.601381934634695
1;79;26.24446231588798;40.658211692701414
1;80;25.38964960081173;38.828948345650865
1;81;24.574100288764157;37.10594599184823
1;82;23.79280936787866;35.48629485013725
1;83;23.043100187592586;33.968101291741014
1;84;22.32136354678754;32.54501634322877
1;85;21.62202663141225;31.216967260616123
1;86;20.93986687472448;29.986090097353554
1;87;20.267948512223523;28.856196800805073
1;88;19.605110730694197;27.824554841991603
1;89;18.951681979755744;26.874834898568984
1;90;18.308353981728068;25.993555923675178
1;91;17.67770850709635;25.166384096588434
1;92;17.063397668873264;24.377134699808355
1;93;16.468028624619123;23.612175780474946
1;94;15.894503507484963;22.860645018122508
1;95;15.338538765971922;22.125487227217313
1;96;14.802680467607004;21.40841464836416
1;97;14.29106432712451;20.698631539174794
1;98;13.806039672722305;19.987704170203713
1;99;13.347103975325625;19.277386681740335
1;100;12.912662314391973;18.57157001501714
1;101;12.50033925154309;17.87646740622728
1;102;12.108187278633043;17.201092338041928
1;103;11.736709392514454;16.542911979128398
1;104;11.386465686757685;15.901079371795356
1;105;11.0589345547904;15.27063627239183
1;106;10.755242018624783;14.647457939625227
1;107;10.476109812255809;14.028893427511997
1;108;10.221828107716448;13.413565598826997
1;109;9.99225155314602;12.801149873189672
1;110;9.783669069715499;12.194790284687166
1;111;9.590520931714346;11.612685988020882
1;112;9.412215947843865;11.057960547758903
1;113;9.248140357889083;10.528400655426333
1;114;9.095937759495348;10.023965928117889
1;115;8.954013097722102;9.548867096161283
1;116;8.81868724520546;9.107170891974379
1;117;8.688568591284591;8.705100659264051
1;118;8.563695949413015;8.337726662502135
1;119;8.441097323229643;8.005706608993156
1;120;8.320057411121299;7.713385165251998
1;121;8.201527906679036;7.452996027871406
1;122;8.08436573505002;7.2181434488310545
1;123;7.966959745492468;7.0154177943392515
1;124;7.850732251310148;6.837638217498944
1;125;7.737088353027767;6.674562571304206
1;126;7.6255017942091765;6.5210954854419185
1;127;7.516672661072509;6.376965142453721
1;128;7.409630630484997;6.240974532089266
1;129;7.305107284377449;6.110867505765541
1;130;7.20268415409274;5.987370814056617
1;131;7.1015735453628235;5.868506435779364
1;132;7.000584217578078;5.763530236314129
1;133;6.901217078710004;5.666387018311101
1;134;6.804864112319902;5.5690475344473995
1;135;6.7127625413582965;5.465562340398609
1;136;6.625930940677072;5.351870363748334
1;137;6.545195074980776;5.22551933260821
1;138;6.471165435377068;5.085184738948455
1;139;6.402996488978684;4.931601101945883
