agent;weigthed_obj
TypeB;-1294.0063883650496
TypeC;-63.547210048455426
WindOffshore;-1160.450148625685
GasTurbine;-2603.8833717066445
TypeA;-1294.0723043528067
Baseload;-3831.400406752713
Peak;0.005486126889081788
WindOnshore;-636.6991423339914
TypeD;-63.53978213228396
SolarPanels;-386.1188733123781
