Consumer;2018_base;2018_high;2018_low;2021_base;2021_high;2021_low;2022_base;2022_high;2022_low
TypeC;-0.007563435666159619;-0.007204922851614697;-0.006874074923447302;-0.006556709184801062;-0.006342458151600033;-0.006361844555380261;-0.006830590954578693;-0.036564845215979754;-0.03757084621929442
TypeA;-0.007612368484388014;-0.00725155993802603;-0.0069185790790354165;-0.006599148403031699;-0.0063835033877041964;-0.006403022778012622;-0.006874795084906972;-0.037783594528573244;-0.03882315113331668
TypeD;-0.007563096410576171;-0.007204614801074588;-0.0068738189567794;-0.006556456284267341;-0.006342197286575364;-0.0063615636009374255;-0.00683027291708273;-0.03656507109784717;-0.03757088954883097
TypeB;-0.007599139782607629;-0.007238917123383805;-0.006906513433870282;-0.006587607761536157;-0.006372473708116612;-0.006391766430714943;-0.006862755923622127;-0.03747890036536726;-0.038509816559028166
