Generator;MV_M€_per_GWh;Total_Generation_GWh;Total_Revenue_M€
Baseload;0.10003338477030686;389193.4567895385;38932.3388131137
GasTurbine;0.11658076692404715;277135.2765412325;32308.643080884776
Peak;0.16445713382146906;59136.462598649305;9725.413143314368
WindOnshore;0.08462845394380249;94891.14030472565;8030.4904969533745
WindOffshore;0.08820369720451321;159894.67905769922;14103.30185621812
SolarPanels;0.08222034639758072;48522.42926996748;3989.530942628836
