Generator,2018_base,2018_high,2018_low,2021_base,2021_high,2021_low,2022_base,2022_high,2022_low
Baseload,43541.035666512245,43250.31900302449,43734.7676012668,43663.92154907338,43349.08041993021,43797.21301590748,42673.93024662001,42315.18469061676,43030.567968210606
GasTurbine,33258.04087523383,31030.32572471874,35477.46454197031,31856.021429343447,28926.169963407658,34725.74157552598,29704.80612636415,26595.472744779538,32672.18776678382
Peak,9883.230517519021,7842.1215472670065,12250.703562077311,7932.763464893525,6548.336509522784,9658.046078986765,4066.2821089889853,2997.094218029457,5432.7440604761505
SolarPanels,5994.83101110759,6919.749222442288,5042.911265053366,6039.708820197156,6997.635844975489,5053.9346618400305,5257.532172021033,6267.468821087281,4214.101375819246
WindOffshore,18205.10596568159,19947.3845257163,16304.018402063179,15061.39331523787,16887.973975351328,13134.786292426557,15886.85978212416,17616.545506183265,14051.014622259723
WindOnshore,9881.39284558627,11785.598302721344,7945.827503001344,8434.51550077401,10288.44846329682,6603.287916565676,9828.795659831605,11637.804080212136,8007.256380154748
