Timestep;Price;G_WindOffshore;G_GasTurbine;G_Baseload;G_Peak;G_WindOnshore;G_SolarPanels;G_TypeC;G_TypeA;G_TypeD;G_TypeB;Demand;Total_PV
1.0;0.04000220170895151;4.078219334944082;0.7411745185027959;4.9999991393758725;0.0;2.814291830920166;0.0;-0.08543965292417992;-0.22792049259451488;-0.08542741419142871;-0.227867251522024;-12.007;0.0
2.0;0.04001364423125196;3.9257936764678516;0.3098888315156313;4.999999140077346;0.0;2.8717846340081836;0.0;-0.08213812986268108;-0.21711316048909338;-0.08212673914371167;-0.21706030811200216;-11.509;0.0
3.0;0.010011978683487539;4.082821659277282;0.0;4.938955227015075;0.0;2.7411655527178884;0.0;-0.08151920633971645;-0.20755753929243664;-0.08145681243946952;-0.20743763696435064;-11.185;0.0
4.0;0.0100231482886895;4.078218549584538;0.0;4.654646045914079;0.0;2.8219666769130574;0.0;-0.08253293286120504;-0.197970937878286;-0.08247086340246572;-0.1978524153322111;-10.994;0.0
5.0;0.04001896451888694;4.07361530894344;0.14954988779086803;4.999999140921478;0.0;2.409608817737388;0.0;-0.08727632307950524;-0.1911317974199907;-0.08726720727741975;-0.191091275360671;-11.076;0.0
6.0;0.04000687132922698;4.041361326154409;0.5769037380760238;4.999999139531529;0.0;2.636657573497934;0.0;-0.09977276595766113;-0.19170243997498013;-0.09976274371319503;-0.19165001814250227;-11.672;0.0
7.0;0.03998941042723544;3.8886857086451245;2.2555324348299735;4.999999139546572;0.0;2.7642966668651545;0.0;-0.12195819822068343;-0.20583152212209227;-0.12194704985556741;-0.20577852253321008;-13.253;0.0
8.0;0.20005898697210436;3.753638584590253;4.9999998178811;4.999999965878288;0.06331992391628323;2.4843870707277214;0.0;-0.13964438372612503;-0.2254784687878107;-0.13964649275833818;-0.2254709441417899;-15.571;0.0
9.0;0.2001769308629389;3.8840428906206226;4.999999818181308;4.999999965922475;1.3637762031298384;2.468677703847963;0.006288055215962976;-0.1476846524242793;-0.23167843247672126;-0.14768646163216329;-0.23167108192717403;-16.964;1.6883102129464367e-6
10.0;0.20033064760938255;3.1610686342311167;4.999999818357715;4.999999965948418;2.556708307932171;2.214815250910771;0.14770233905804336;-0.14037188521330196;-0.22466093084381467;-0.1403930733923061;-0.22467279356022676;-17.35;4.027355926284606e-5
11.0;0.20022172142887315;4.092025984832311;4.999999818232351;4.99999996592998;1.4936945727322841;1.980236040525716;0.5009472736107924;-0.12981326342566737;-0.21551963151583253;-0.12988548568878502;-0.21558224013760457;-17.376;0.0001404941935087457
12.0;0.19986021813719423;3.9026085557867556;4.999999817747824;4.99999996585873;0.44573168711085703;2.601659231682167;0.8515277568017067;-0.12146074389720793;-0.2067536093075439;-0.12158849760823306;-0.20687138263812674;-17.145;0.00024961335109288364
13.0;0.03998126482511732;3.9628398522042723;4.704983717832247;4.999999139788394;0.0;2.675448993776087;1.051069159540569;-0.1234669408400754;-0.20208702829596478;-0.12361774555725663;-0.2021959152308837;-16.743;0.0003268410955429054
14.0;0.039981734975994485;4.069010364324982;4.533316026230508;4.999999139795635;0.0;2.5509580997264094;1.2330496361773806;-0.12568889320577228;-0.2038192877455941;-0.12588148303184746;-0.20396978763769316;-16.727;0.00040968915388609243
15.0;0.039982188454119605;4.073615308870564;4.36790014465978;4.999999139774616;0.0;2.6793226608608793;1.2671838806003377;-0.13204056171756368;-0.20929133476105646;-0.13225259144953583;-0.2094612155869294;-16.705;0.0004475501019817361
16.0;0.039987945180209;4.073615308870232;4.831678078376641;4.999999139769378;0.0;2.768148080021966;0.9223863495763811;-0.14468106141552597;-0.2206018074990686;-0.1448391887363277;-0.22071814861378838;-16.865;0.00034007617728472946
17.0;0.20000399582376746;4.045971879034721;4.999999817947242;4.999999965888052;0.7884234303627566;2.768148312183658;0.43726126259887993;-0.15574985900793603;-0.23560010684446273;-0.15583363703855155;-0.23567449485311626;-17.257;0.00016372472808358617
18.0;0.2002812516653021;4.027524363240508;4.99999981831951;4.999999965942805;2.483574464683128;2.3780013206725132;0.14155525462265062;-0.18361503093314469;-0.2626215347192593;-0.18364212095919277;-0.2626397459390908;-18.138;5.2190221263720684e-5
19.0;0.20021556946215238;4.01829501491503;4.999999818242092;4.999999965931418;1.9460865872201998;2.4922351833629057;0.0;-0.1965123014668841;-0.26925831898479197;-0.19651311389313922;-0.2692504344424576;-17.525;0.0
20.0;0.20018130144383237;4.022910156148676;4.999999818198094;4.999999965924947;1.7391548202611764;2.053536911392962;0.0;-0.20280276456648505;-0.2739721484072719;-0.20280445502089076;-0.27396502877942996;-16.862;0.0
21.0;0.20007637637586656;4.018295014911579;4.999999818050682;4.999999965903265;1.1454116547685878;1.6945497677495642;0.0;-0.19632364462258087;-0.2718107678902981;-0.19632636254183644;-0.2718043687738353;-15.922;0.0
22.0;0.03998421649471043;4.0736153088708;4.432633728568928;4.999999139778325;0.0;2.3898626466508786;0.0;-0.19044176568399857;-0.26915592729193;-0.19042881301693163;-0.26910587044583223;-14.977;0.0
23.0;0.03998783096835916;4.050581369054073;3.192848831500687;4.999999139795897;0.0;2.350283466790374;0.0;-0.16310043812289807;-0.254792918816525;-0.16308990495158468;-0.2547442117469811;-13.758;0.0
24.0;0.039988697676653535;3.9905843968348496;2.5589928814652376;4.999999139589912;0.0;1.898223938050608;0.0;-0.13590917135323466;-0.23951972812918562;-0.13590351981516838;-0.23947197651457616;-12.697;0.0
25.0;0.039986331079015724;3.1417971998487606;2.4803993810625413;4.999999176168987;0.0;0.5331685258905208;0.0;-0.07568137666429188;-0.20004228168590601;-0.07566822281943225;-0.19998893783833716;-10.604;0.0
26.0;0.039985577052237244;2.6973586139558927;2.812205475636349;4.999999176308731;0.0;0.3520374630723674;0.0;-0.07452928437577244;-0.19131133974870482;-0.07451638797810138;-0.19126890767523838;-10.33;0.0
27.0;0.03998549400847443;2.4879097821863785;2.9029642649029177;4.999999176348565;0.0;0.3409235681561634;0.0;-0.07589678575138187;-0.18354213948703296;-0.0758847231805919;-0.18349988370862483;-10.213;0.0
