iteration;primal_EOM;dual_EOM;rho_EOM;primal_cfd;dual_cfd;rho_cfd;zeta_cfd;imbalance_cfd
1;551.0217035746193;0.0;0.11000000000000001;34.99999999969496;0.0;1.1;-0.3499999999969496;34.99999999969496
2;367.5589992005239;7.911770729054941;0.12100000000000002;35.000000242815744;1.1067971887374668;1.2100000000000002;-0.7350000026679229;35.000000242815744
3;270.6007095177748;5.967594368615769;0.13310000000000002;35.00000007161669;1.2174769016560534;1.3310000000000004;-1.1585000035344848;35.00000007161669
4;205.00451503434138;4.9985481318923135;0.14641000000000004;35.00000196820609;1.3392246643927628;1.4641000000000006;-1.624350029731308;35.00000196820609
5;156.35802982380204;4.409504848957324;0.16105100000000006;34.99998184577963;1.473146284144602;1.6105100000000008;-2.136784763935368;34.99998184577963
6;120.18745985228145;3.8464342472474082;0.17715610000000007;34.999965566540645;1.6204601587180394;1.771561000000001;-2.700462709381062;34.999965566540645
7;96.46845350224659;3.189194519177637;0.1948717100000001;35.000002223951576;1.7825080423006427;1.9487171000000014;-3.320509098779721;35.000002223951576
8;82.02474117649194;2.6389247233029947;0.2143588810000001;35.000004545420225;1.960758975555927;2.1435888100000016;-4.002560172357103;35.000004545420225
9;73.87107384033385;2.1630040706153166;0.23579476910000013;35.000004666298175;2.1568348805229447;2.357947691000002;-4.752816355883349;35.000004666298175
10;69.43781262532964;1.773247389065902;0.25937424601000014;35.00001093194695;2.372518793311988;2.5937424601000023;-5.57809830550294;35.00001093194695
11;66.78572276361793;1.498602021624106;0.28531167061100016;35.000001129329526;2.60976994179988;2.853116706110003;-6.485908195829841;35.000001129329526
12;64.82395838256365;1.317009780932641;0.3138428376721002;34.999996601027426;2.8707465644690164;3.1384283767210035;-7.484498945991687;34.999996601027426
13;62.98549041392573;1.2306114445386676;0.3452271214393102;35.00000043427972;3.157821566763708;3.4522712143931042;-8.582948891473595;35.00000043427972
14;60.99833989777845;1.2453640996660176;0.37974983358324127;32.72526382942922;6.762360896583909;3.797498335832415;-9.71271375449118;32.72526382942922
15;58.69699488710778;1.3360030922648605;0.41772481694156544;19.749412057585097;27.857581469775678;3.797498335832415;-10.46269734871466;19.749412057585097
16;56.0900376909038;1.4852355624304072;0.45949729863572203;12.354401860252663;16.31584791289913;3.797498335832415;-10.931855553759803;12.354401860252663
17;53.2039412574731;1.6741736622470795;0.5054470284992942;14.130690453949233;2.6743946070262057;4.177248169415656;-11.468468288590156;14.130690453949233
18;50.09298684828464;1.8547449135670029;0.5559917313492238;13.65015037125626;2.51249451147118;4.594972986357222;-12.038668945095942;13.65015037125626
