Generator;2018_base;2018_high;2018_low;2021_base;2021_high;2021_low;2022_base;2022_high;2022_low
WindOffshore;3.3789763875802237e-6;4.075964369576468e-6;5.808849515176462e-6;1.2722993076863531e-6;1.0390198639242954e-6;1.2571082024237512e-6;6.37439109141269e-6;2.5612728222768055e-6;2.7260383603788796e-6
GasTurbine;6.473906069004443e-7;1.0232307658952777e-6;3.3833715633591055e-6;6.056206984794699e-7;3.76481921193772e-7;5.785547045888961e-7;5.696722951142874e-6;1.047954867772205e-6;2.24402401727275e-6
Baseload;3.1862164178164676e-6;3.7276680586728617e-6;5.656223493133439e-6;1.1252216154389316e-6;7.133971848816145e-7;1.2153930128988577e-6;5.953680783932214e-6;1.8148684262087045e-6;2.365578666285728e-6
Peak;3.331010730356354e-6;3.904071348870275e-6;5.742625374338672e-6;1.2924401318059608e-6;1.0369165792667445e-6;1.2538561406927329e-6;6.397019170378826e-6;2.5558452705354284e-6;2.7077970585764888e-6
WindOnshore;3.373465290223976e-6;4.068448333782726e-6;5.8045218054303405e-6;1.2715276582753177e-6;1.037777909829174e-6;1.2560772404413e-6;6.372412599375821e-6;2.5584619720575574e-6;2.724197258885397e-6
SolarPanels;3.3730102660932968e-6;4.067803862851677e-6;5.8041713987149645e-6;1.271432448709392e-6;1.0374481844155348e-6;1.2560278711776316e-6;6.372296789445165e-6;2.5582490114813006e-6;2.7241203211968363e-6
