Generator;Year;MV_M€_per_GWh;Generation_GWh;Revenue_M€
Baseload;1;0.12196990896818305;43533.453843094634;5309.771402312851
Baseload;2;0.109936524565638;43238.78135316605;4753.52134842059
Baseload;3;0.13006260595408764;43728.07852514379;5687.387846345178
Baseload;4;0.09048840203937378;43629.9260952484;3948.0022934550025
Baseload;5;0.0809041530835574;43254.90025011943;3499.501071449668
Baseload;6;0.10965374315410147;43795.251899669696;4802.313303175555
Baseload;7;0.08596262935502433;42680.82833335515;3668.9562265856293
Baseload;8;0.07677459450852187;42300.6367933391;3247.61423726087
Baseload;9;0.09330982609145408;43031.599696402234;4015.271084108361
GasTurbine;1;0.13838036782136928;33150.176276769365;4587.3335865225745
GasTurbine;2;0.1285692163269422;30897.496928528468;3972.466966565009
GasTurbine;3;0.14341657944739206;35389.01063869883;5075.370855829553
GasTurbine;4;0.10409247320150225;30372.58052006219;3161.5570238450427
GasTurbine;5;0.09715246204394078;27205.70037838778;2643.1007733901442
GasTurbine;6;0.12101718686937785;33527.77457308132;4057.436960824957
GasTurbine;7;0.10214138690169426;28874.818213490522;2949.313978860224
GasTurbine;8;0.09563975479552222;25788.696110685007;2466.4245725221517
GasTurbine;9;0.10634958586103523;31929.022901528988;3395.6383625251174
Peak;1;0.17115050619452513;9665.999093955776;1654.340637806352
Peak;2;0.16584841472423076;7648.8883741255795;1268.5560112513263
Peak;3;0.17453964100608704;12016.749203247495;2097.399091995
Peak;4;0.14948142875326925;5973.501097445693;892.9274787054039
Peak;5;0.14462333906653627;4805.383987194087;694.9706777248745
Peak;6;0.16031716888870284;7591.909182832593;1217.1133866518667
Peak;7;0.166568518189061;3729.9753870386735;621.2964731007011
Peak;8;0.1631498055849295;2701.016728582378;440.6703541498573
Peak;9;0.16752596586930962;5003.039544227042;838.1390319289858
WindOnshore;1;0.1138315106678226;9881.394685756897;1124.8140845847017
WindOnshore;2;0.09845919447996981;11785.601119131217;1160.4007926518905
WindOnshore;3;0.12106465855733031;7945.828770971579;961.9590471126858
WindOnshore;4;0.08063804755001047;10959.570799718236;883.7583912753854
WindOnshore;5;0.07137722689965538;12943.612237060584;923.8791475458294
WindOnshore;6;0.09828664382910263;8918.2775496133;876.5475690879246
WindOnshore;7;0.06539782336168092;10831.42026927762;708.3513095263481
WindOnshore;8;0.0599077762396579;12675.745085207192;759.3757002355359
WindOnshore;9;0.07055042910877797;8949.689787989018;631.4044549330733
WindOffshore;1;0.11206868669227739;18205.106891539966;2040.2224204274125
WindOffshore;2;0.09750948381226092;19947.38583284262;1945.0592959644905
WindOffshore;3;0.1205000168449575;16304.019093252873;1964.63457537748
WindOffshore;4;0.08681155293625972;18219.19999245942;1581.6370446016938
WindOffshore;5;0.07622334736496929;20052.261521677643;1528.4504954200427
WindOffshore;6;0.10393847671745013;16223.366538072054;1686.2320051960617
WindOffshore;7;0.06643889961415693;17020.055314598492;1130.7937464740073
WindOffshore;8;0.06086228888229116;18708.664690251448;1138.6521549800038
WindOffshore;9;0.0714852014825214;15214.619183004732;1087.6201177769283
SolarPanels;1;0.11334065431522283;5994.8315631467085;679.458131876598
SolarPanels;2;0.09884583915647449;6919.749961260348;683.9884916737609
SolarPanels;3;0.12664238308999037;5042.911683751732;638.6463533426752
SolarPanels;4;0.06096987990812088;5276.714181692773;321.72062996728675
SolarPanels;5;0.056938051176848824;6175.50146811987;351.6210186345142
SolarPanels;6;0.07874259112879187;4364.73119335299;343.6902437452783
SolarPanels;7;0.0684853487084879;4925.219507361606;337.30537542750653
SolarPanels;8;0.05726204041458729;5892.168085509394;337.3975670419803
SolarPanels;9;0.07523101017930148;3930.601625772047;295.70313091923583
