iteration;primal_EOM;dual_EOM;rho_EOM
1;550.4096827859577;0.0;0.011000000000000001
2;441.5309063094951;0.6444651265147585;0.012100000000000001
3;389.9763993426196;0.4744182770760301;0.013310000000000002
4;358.69691277624975;0.37182128080747895;0.014641000000000003
5;336.2156551160064;0.3162193390656579;0.016105100000000004
6;314.5400292593879;0.3428542990495868;0.017715610000000007
7;292.4706541191334;0.38473957227609457;0.019487171000000008
8;271.8777228886623;0.40464949455813554;0.021435888100000012
9;255.07401081344491;0.3979899279141218;0.023579476910000015
10;242.1019712986987;0.38706593396516364;0.025937424601000018
11;232.25138824232903;0.3727950813360381;0.02853116706110002
12;224.5609675348483;0.3560351769201471;0.031384283767210024
13;218.3355969991433;0.33143211648920434;0.03452271214393103
14;212.4242760996281;0.3251281344939791;0.03797498335832414
15;205.92152295635051;0.34755469168515785;0.04177248169415655
16;198.4113956736648;0.4005676457910618;0.04594972986357221
17;189.7954684265282;0.46985578688346047;0.050544702849929436
18;180.0579478564282;0.5565120074287409;0.05559917313492239
19;169.467885424094;0.6449138516251756;0.06115909044841463
20;158.4882384958793;0.721326838978986;0.0672749994932561
21;147.50308655306327;0.7844553552556991;0.07400249944258172
22;136.84985686319095;0.8383729631005595;0.0814027493868399
23;126.68825191163556;0.8867227488938441;0.0895430243255239
24;117.20706377377017;0.9297130704296381;0.09849732675807629
25;108.48177097115196;0.9701451631647032;0.10834705943388392
26;100.70359492188112;0.9984564685953278;0.11918176537727232
27;93.87084087122305;1.0212152653613076;0.13109994191499957
28;87.93606034342716;1.0411121768401075;0.14420993610649954
29;82.93014012774834;1.0508786385026787;0.1586309297171495
30;78.763652499373;1.057726814484955;0.17449402268886446
31;75.32651745891282;1.0614986317372306;0.19194342495775094
32;72.49050595431909;1.0593950699931123;0.21113776745352605
33;70.08315380946257;1.0587602280343569;0.23225154419887867
34;67.87321600232322;1.0704412897691846;0.25547669861876654
35;65.71374487502027;1.095863708850891;0.2810243684806432
36;63.48015778516627;1.1430898542715466;0.30912680532870757
37;61.115317386889636;1.2128770206183461;0.34003948586157834
38;58.55706921571568;1.31330252333448;0.3740434344477362
39;55.76046104348901;1.4411144299711542;0.41144777789250986
40;52.70163952491534;1.5932939093756595;0.4525925556817609
41;49.529172921286424;1.7287992688021203;0.497851811249937
42;46.31550993562482;1.859821162973603;0.5476369923749307
43;43.0992506818935;1.9959316582014375;0.6024006916124238
44;39.90470818303868;2.1467652868242353;0.6626407607736663
45;36.76052988826455;2.2901365917448535;0.728904836851033
46;33.68744173415544;2.4328247086080625;0.8017953205361363
47;30.706734904686456;2.5712773771532955;0.8819748525897501
48;27.84068238020299;2.7034514818206574;0.9701723378487251
49;25.10668966361344;2.8276148140300896;1.0671895716335977
50;22.516221115696506;2.941454356332181;1.1739085287969575
51;20.087196447475705;3.042215671604013;1.2912993816766534
52;17.82503747696263;3.128119924503805;1.4204293198443187
53;15.735449671532779;3.1973998054926427;1.5624722518287508
54;13.825787120274564;3.248663499964165;1.718719477011626
55;12.09496910306593;3.280835135602916;1.8905914247127888
56;10.545750421486687;3.2935449848129172;2.0796505671840677
57;9.173314561122005;3.2865929995213476;2.2876156239024747
58;7.972842863149706;3.2606376519542444;2.5163771862927224
59;6.934263831644476;3.216188872251814;2.768014904921995
60;6.050919137145251;3.1549202054045984;2.768014904921995
61;5.314318100646084;2.978103114027892;2.768014904921995
62;4.725590497266926;2.793972895433074;2.768014904921995
63;4.293380833099545;2.6049087428542785;2.768014904921995
64;4.018087255437596;2.412321908619806;2.768014904921995
65;3.890869155615503;2.2204976930276916;2.768014904921995
66;3.877074091806093;2.0266184064975152;2.768014904921995
67;3.9446896403550107;1.836688918876858;3.0448163954141947
68;4.000326874412347;1.6434956495526205;3.3492980349556145
69;4.02333312733408;1.4651604172801125;3.6842278384511764
