agent;weigthed_obj
TypeB;-368.1865511001306
TypeC;-146.49185629337578
WindOffshore;-842.2006087825915
GasTurbine;-3064.749999428406
TypeA;-737.6823052311562
Baseload;-3064.749999428406
Peak;-6126.999999446505
WindOnshore;-485.55346355427866
TypeD;-146.493802697044
SolarPanels;-298.2322351584177
