Timestep;Price;G_WindOffshore;G_GasTurbine;G_Baseload;G_Peak;G_WindOnshore;G_SolarPanels;G_TypeC;G_TypeA;G_TypeB;Demand;Total_PV
1.0;0.047768154735846266;3.93416928;1.170458006973944;5.0;0.0;2.5428571449999997;0.0;-0.18890894302340697;-0.07204309774209496;-0.37965201712462515;-12.007;0.0
2.0;0.05092855875804699;3.761755485;0.7538564918383724;5.0;0.0;2.604081635;0.0;-0.17995144275155678;-0.06926019404514178;-0.36165050125555287;-11.509;0.0
3.0;0.05253982812484543;3.93939394;0.36488496582272506;5.0;0.0;2.46530612;0.0;-0.17168903661348398;-0.06804411921085537;-0.3450454596889601;-11.185;0.0
4.0;0.03916826950925433;3.93416928;0.0705930774886584;5.0;0.0;2.55102041;0.0;-0.16376546545485068;-0.06889093700502215;-0.3291138571298446;-10.994;0.0
5.0;0.05235908610714978;3.92894462;0.5788855568808446;5.0;0.0;2.1183673450000002;0.0;-0.15841782779470837;-0.07359483569788054;-0.3183754278153071;-11.076;0.0
6.0;0.0493089801731622;3.8923719950000004;0.9867281843589925;5.0;0.0;2.3551020400000002;0.0;-0.1588905336262315;-0.08413063131597937;-0.31932441231846853;-11.672;0.0
7.0;0.0381072396542237;3.719958205;2.6595797917476314;5.0;0.0;2.48979592;0.0;-0.1706051254469811;-0.10283737370674786;-0.3428617319307147;-13.253;0.0
8.0;0.02908263128379284;3.56844305;5.499877902938712;5.0;0.0;2.195918365;0.0;-0.18892000478863752;-0.12448630406398474;-0.37966391652645864;-15.571;0.0
9.0;0.027592426409820146;3.7147335399999997;6.783816882532246;5.0;0.0;2.179591835;0.001934985;-0.19411716821429528;-0.1316603148432977;-0.3901076234278353;-16.964;7.147919780318381e-7
10.0;0.02671379241028629;2.9153605;8.12885843027757;5.0;0.0;1.918367345;0.079334365;-0.18825171743607555;-0.12515061694249216;-0.3783126364681628;-17.35;2.9625344784629824e-5
11.0;0.026928425226731705;3.9498432599999997;7.070263164780776;5.0;0.0;1.681632655;0.33378483000000003;-0.18062251446123379;-0.11574223456566889;-0.36295687129009746;-17.376;0.00012715611418299386
12.0;0.02766716436932075;3.735632185;6.097949406250029;5.0;0.0;2.318367345;0.623065015;-0.1733061579434004;-0.10829282819774916;-0.3482241304016165;-17.145;0.0002450415776507458
13.0;0.028697470455692854;3.80355277;5.353979003088393;5.0;0.0;2.395918365;0.798181115;-0.167598197212064;-0.10412710971572786;-0.3367310454911615;-16.743;0.0003278765789214304
14.0;0.029084253183219957;3.92371996;5.189706101829016;5.0;0.0;2.26530612;0.9631385450000001;-0.16905561976054528;-0.10601120011239187;-0.33963496451766756;-16.727;0.0004159945825116108
15.0;0.02959477945803709;3.92894462;5.015372348696504;5.0;0.0;2.4;0.9945820449999999;-0.17360101112318133;-0.11137875362487172;-0.3487581569759994;-16.705;0.00045046661723524453
16.0;0.02902949822821827;3.92894462;5.430409785945118;5.0;0.0;2.4938775499999997;0.684500775;-0.18294824856130704;-0.12203873540930278;-0.36757587293824223;-16.865;0.00032077579358937914
17.0;0.02818310946577263;3.897596655;6.31436417981928;5.0;0.0;2.4938775499999997;0.284442725;-0.1974511926018342;-0.1388751480051184;-0.3967717315449935;-17.257;0.0001349601791087619
18.0;0.027759351885347214;3.876698015;7.926315266206959;5.0;0.0;2.085714285;0.075464395;-0.22005996014199738;-0.163707084575331;-0.442235167230666;-18.138;3.536468047661067e-5
19.0;0.028232515646345047;3.8662486950000003;7.3090292424574095;5.0;0.0;2.204081635;0.0;-0.2256026125901328;-0.17519046227346302;-0.45338402502172886;-17.525;0.0
20.0;0.02850568540765476;3.871473355;7.107274423989956;5.0;0.0;1.7551020400000001;0.0;-0.2295522165443455;-0.18079770004061904;-0.4613216249471262;-16.862;0.0
21.0;0.028932220567644565;3.8662486950000003;6.5163632675024;5.0;0.0;1.4000000000000001;0.0;-0.2277409012417088;-0.17501805179388316;-0.45768134334382815;-15.922;0.0
22.0;0.031559920641203054;3.92894462;4.782257874865646;5.0;0.0;2.097959185;0.0;-0.22309609614446435;-0.16058604507097754;-0.4483485276521634;-14.977;0.0
23.0;0.03493206410061615;3.902821315;3.57126055778364;5.0;0.0;2.057142855;0.0;-0.2111903303061912;-0.13753099449502398;-0.424424567807243;-13.758;0.0
24.0;0.03703969558239145;3.8349007299999998;2.974265892925272;5.0;0.0;1.6;0.0;-0.19853129335445394;-0.11460409116722993;-0.39898501415451976;-12.697;0.0
25.0;0.03660616777481631;2.89446186;2.913243944289392;5.0;0.0;0.359183675;0.0;-0.16580578221667064;-0.06381440565381856;-0.33321645349463097;-10.604;0.0
26.0;0.035007472706432265;2.419017765;3.2307400731429645;5.0;0.0;0.22040816500000002;0.0;-0.15857073541691183;-0.06284334288514465;-0.3186744359660995;-10.33;0.0
27.0;0.03446226296524324;2.199582025;3.3231226474297735;5.0;0.0;0.2122449;0.0;-0.15213215043252362;-0.06399707239624587;-0.30573446911490837;-10.213;0.0
28.0;0.03336863510054082;1.96447231;3.561864634973936;5.0;0.0;0.21632653000000002;0.0;-0.14638186480820567;-0.06800088711810154;-0.29417799219827717;-10.234;0.0
29.0;0.03079690939334538;1.6248693850000002;4.266700799587098;5.0;0.0;0.33877551;0.0;-0.1458562025256344;-0.07722629152269674;-0.2931208096520468;-10.714;0.0
30.0;0.027069899869838834;1.29049112;6.116104339078649;5.0;0.0;0.16734694;0.0;-0.15467303646505626;-0.09323165308701083;-0.3108377853455073;-12.015;0.0
31.0;0.026055907605854224;0.318704285;8.84614726115989;5.0;0.0;0.130612245;0.0009674900000000001;-0.16606338462853332;-0.10942426417254435;-0.33372795434667013;-13.687;3.555683956324466e-7
32.0;0.03339132767190871;0.28213166;9.843133476751111;5.0;0.0;0.102040815;0.08997678;-0.1681700478359701;-0.11405219742614983;-0.33795795805529555;-14.697;3.323781866688141e-5
