Timestep;Price;G_WindOffshore;G_MidMerit;G_Baseload;G_Peak;G_WindOnshore;G_SolarPanels;G_TypeC;G_TypeA;G_TypeB;Demand
1.0;69.92219085118388;0.72804878;5.0;5.0;0.0;0.452923077;0.0;-0.1765497980609807;-0.07720798834101562;-0.3914487715349561;-11.664
2.0;63.817298272630765;0.553658537;5.0;5.0;0.0;0.391807692;0.0;-0.17158036406277283;-0.0746295202437433;-0.3761599684689969;-11.206
3.0;58.180424423730194;0.539430894;5.0;5.0;0.0;0.365076923;0.0;-0.16729198179592708;-0.07393935872206063;-0.3630263740865747;-10.951
4.0;54.9266114108554;0.58495935;5.0;5.0;0.0;0.337076923;0.0;-0.1623031964664914;-0.07557121537705849;-0.3501558082681404;-10.848
5.0;58.52241259210779;0.517479675;5.0;5.0;0.0;0.325769231;0.0;-0.1554990752216689;-0.08062596259353508;-0.33764628386599377;-10.935
6.0;65.1923991801828;0.68495935;5.0;5.0;0.0;0.358461538;0.0;-0.15147003358732597;-0.09093423121992895;-0.3329157841496852;-11.408
7.0;92.74155598527621;0.735772358;5.0;5.0;0.0;0.390192308;0.0;-0.1468337105155334;-0.10617968571583644;-0.33633140754400126;-12.549
8.0;132.49812815893299;0.849593496;5.0;5.0;0.0;0.428730769;0.0;-0.15582354788967562;-0.12068864951815159;-0.34182991214707437;-14.13
9.0;164.7250040868156;0.869918699;5.0;5.0;0.0;0.495115385;0.00015;-0.15955767234828605;-0.12509233584827428;-0.3375952460691421;-15.341
10.0;175.5699512491457;0.87804878;5.0;5.0;0.10807975094130431;0.5545;0.00355;-0.1559298424198972;-0.11915724274536632;-0.32587566398976514;-15.811
11.0;171.51384161414674;0.876422764;5.0;5.0;0.005371636228087576;0.603269231;0.0111;-0.14885703133822312;-0.1098983041633366;-0.3125075649748628;-15.754
12.0;168.3534644074771;0.874390244;5.0;5.0;0.0;0.630730769;0.01775;-0.144239240998563;-0.10404467794047784;-0.30390756744411646;-15.697
13.0;163.526586096493;0.859349593;5.0;5.0;0.0;0.659576923;0.0222;-0.14158204174265798;-0.10181924757380544;-0.2999525600442686;-15.558
14.0;154.81585462102612;0.857317073;5.0;5.0;0.0;0.682153846;0.024175;-0.14039564728861895;-0.1023841833033581;-0.30038729611170567;-15.279
15.0;148.19517727947735;0.802845528;5.0;5.0;0.0;0.691884615;0.023175;-0.14165338510424283;-0.10605211366733874;-0.3053430635919836;-14.992
16.0;151.30445278278341;0.804878049;5.0;5.0;0.0;0.7035;0.018575;-0.14869666175034613;-0.1155188350848535;-0.319414712914325;-15.078
17.0;158.9703869713006;0.862195122;5.0;5.0;0.0;0.724192308;0.01175;-0.15981391326062808;-0.1303404469973744;-0.34034955548534895;-15.366
18.0;183.16471344018032;0.862195122;5.0;5.0;0.6486356124465902;0.756961538;0.00435;-0.17856065572029567;-0.15223287241738634;-0.37073811882492635;-16.192
19.0;179.8553180605955;0.862601626;5.0;5.0;0.35024677364420426;0.778615385;5.0e-5;-0.1875057498165712;-0.16705713116708865;-0.39030390900842116;-16.025
20.0;162.93504185677176;0.860162602;5.0;5.0;0.0;0.784692308;0.0;-0.19063086120723358;-0.17371518147737194;-0.40418225613265296;-15.406
21.0;140.32668920340495;0.858130081;5.0;5.0;0.0;0.774576923;0.0;-0.1898274080418671;-0.170781365927643;-0.4128405317214752;-14.601
22.0;117.00998740036954;0.863414634;5.0;5.0;0.0;0.7615;0.0;-0.1864651272295624;-0.15902743574873413;-0.4160728310463667;-13.772
23.0;93.25220600125188;0.86300813;5.0;5.0;0.0;0.744807692;0.0;-0.18003015125261504;-0.14061170592488897;-0.41215564063707566;-12.903
24.0;74.31867588735004;0.865447154;5.0;5.0;0.0;0.712769231;0.0;-0.18078028743490723;-0.12095302708757874;-0.4041552340842703;-12.174
25.0;44.023279094590805;0.703658537;5.0;5.0;0.0;0.298269231;0.0;-0.16904904129177276;-0.0702319431363353;-0.3577840555186148;-10.439
26.0;39.57276449864835;0.730894309;4.759913997291776;5.0;0.0;0.286692308;0.0;-0.16354114930326216;-0.0693622522681363;-0.3438482086175635;-10.178
27.0;39.762096113756854;0.603658537;4.817194526170402;5.0;0.0;0.274692308;0.0;-0.15736059842912223;-0.07085092529778055;-0.33088922289202644;-10.094
28.0;39.84795738236277;0.600406504;4.84087826112751;5.0;0.0;0.270115385;0.0;-0.15140317161987585;-0.07528425516593407;-0.31837899003895936;-10.115
29.0;46.50670337632028;0.535772358;5.0;5.0;0.0;0.264423077;0.0;-0.1457277944396627;-0.08376281984270119;-0.3097619942724958;-10.408
30.0;66.38523348193335;0.617073171;5.0;5.0;0.0;0.257730769;0.0;-0.14154839629541197;-0.09701884038745685;-0.3117951790744296;-11.313
31.0;90.03582941879475;0.578455285;5.0;5.0;0.0;0.250153846;0.002175;-0.13445112202454582;-0.10643068160942115;-0.30885689496992974;-12.192
32.0;96.88714338381702;0.519918699;5.0;5.0;0.0;0.241384615;0.02845;-0.12929476812144408;-0.1049642078359782;-0.2948304610551354;-12.432
33.0;78.63668661312062;0.428455285;5.0;5.0;0.0;0.225192308;0.1073;-0.11954267378820718;-0.09304753232816854;-0.2694373765270561;-11.754
34.0;48.97687950034636;0.339430894;5.0;5.0;0.0;0.195192308;0.220525;-0.11230983968388696;-0.07846921968085546;-0.23966881362385892;-10.582
35.0;39.9698549120482;0.285365854;4.303015478884744;5.0;0.0;0.171461538;0.336125;-0.10187109198975633;-0.06798305292710101;-0.21405661488909894;-9.636
