Timestep;Price;G_WindOffshore;G_MidMerit;G_Baseload;G_Peak;G_WindOnshore;G_SolarPanels;G_TypeC;G_TypeA;G_TypeB;Demand
1.0;200.1134343187903;0.72804878;5.0;5.0;1.0731950053467512;0.452923077;0.0;-0.16680681026874863;-0.0732753313659953;-0.35026526181718753;-11.664
2.0;201.70191205610277;0.553658537;5.0;5.0;0.8137906547580257;0.391807692;0.0;-0.15926431458834542;-0.07060647998859891;-0.33441460016288077;-11.206
3.0;214.33592968947931;0.539430894;5.0;5.0;0.5090756617123056;0.365076923;0.0;-0.15279552394416357;-0.0696581661019636;-0.31988364114108586;-10.951
4.0;244.02927634606706;0.58495935;5.0;5.0;0.0;0.337076923;0.0;-0.14687676885224418;-0.0718525958522003;-0.3148617468546117;-10.848
5.0;198.6853422509478;0.517479675;5.0;5.0;0.6302444097294267;0.325769231;0.0;-0.1421650731992242;-0.07600824676698445;-0.29794837812732405;-10.935
6.0;199.66855656369688;0.68495935;5.0;5.0;0.8911631143793864;0.358461538;0.0;-0.14116011808495266;-0.08609442929692586;-0.2964114828534052;-11.408
7.0;200.15843696394577;0.735772358;5.0;5.0;1.980123103207079;0.390192308;0.0;-0.14683374756766157;-0.10194995883739008;-0.3083042767382983;-12.549
8.0;200.2762273242588;0.849593496;5.0;5.0;3.452910161511018;0.428730769;0.0;-0.15582372654852536;-0.11826717069095469;-0.32714349988290864;-14.13
9.0;200.36760178288972;0.869918699;5.0;5.0;4.594973890990512;0.495115385;0.00015;-0.1595576578478161;-0.12464655892219426;-0.3349537813426374;-15.341
10.0;197.96950192881744;0.87804878;5.0;5.0;5.0;0.5545;0.00355;-0.1559298878892826;-0.11936058864452741;-0.32706883430885325;-15.811
11.0;200.38675103993216;0.876422764;5.0;5.0;4.8344420182946966;0.603269231;0.0111;-0.1488574648058464;-0.10989636924562057;-0.31248014957175646;-15.754
12.0;200.37799783842746;0.874390244;5.0;5.0;4.725025030678455;0.630730769;0.01775;-0.1442394890823179;-0.10387119418901877;-0.30278533802096186;-15.697
13.0;200.36456483346439;0.859349593;5.0;5.0;4.557057463444351;0.659576923;0.0222;-0.14158200222660522;-0.10139395665162883;-0.29720802206831654;-15.558
14.0;200.34015989302964;0.857317073;5.0;5.0;4.251967592406909;0.682153846;0.024175;-0.14039558272918415;-0.10149560243628046;-0.2947223410798528;-15.279
15.0;200.3214322304313;0.802845528;5.0;5.0;4.017882230236963;0.691884615;0.023175;-0.14165251246089317;-0.10476908961443977;-0.2973657824060071;-14.992
16.0;200.3300978876181;0.804878049;5.0;5.0;4.126205128197972;0.7035;0.018575;-0.14869697138320917;-0.11430735072714954;-0.31215386500224795;-15.078
17.0;200.35141298673534;0.862195122;5.0;5.0;4.39265324815493;0.724192308;0.01175;-0.15981391275281703;-0.12948711953493794;-0.33548965041833706;-15.366
18.0;307.476846930999;0.862195122;5.0;5.0;5.0;0.756961538;0.00435;-0.17856063410063497;-0.14828202096336213;-0.3571194592567067;-16.192
19.0;253.92537994886936;0.862601626;5.0;5.0;5.0;0.778615385;5.0e-5;-0.18750577047528771;-0.16501367772411626;-0.37977874437503617;-16.025
20.0;200.36202358594628;0.860162602;5.0;5.0;4.524896084874832;0.784692308;0.0;-0.19063138505427876;-0.17293247204659318;-0.4001873283512875;-15.406
21.0;200.29794459745509;0.858130081;5.0;5.0;3.724671782975319;0.774576923;0.0;-0.18982688583272936;-0.16802888294370824;-0.39852284637318913;-14.601
22.0;200.23036701956303;0.863414634;5.0;5.0;2.879640329413379;0.7615;0.0;-0.18646512698852843;-0.15459895372378438;-0.39149085545746726;-13.772
23.0;200.1591180714077;0.86300813;5.0;5.0;1.9882652634659508;0.744807692;0.0;-0.18003014450410681;-0.13504425136151565;-0.378007089082363;-12.903
24.0;200.09721356181376;0.865447154;5.0;5.0;1.2471805234115219;0.712769231;0.0;-0.17302097130587285;-0.11504933892260037;-0.3633106782206258;-12.174
25.0;56.14924960978113;0.703658537;5.0;5.0;0.0;0.298269231;0.0;-0.16615315361705482;-0.0700086258984165;-0.3554672656488646;-10.439
26.0;40.15157597955888;0.730894309;4.736633521585768;5.0;0.0;0.286692308;0.0;-0.1632588731644635;-0.06933880891235288;-0.34362247910955407;-10.178
27.0;40.15277264992864;0.603658537;4.774289389611756;5.0;0.0;0.274692308;0.0;-0.1571158960123767;-0.07083079278855468;-0.33069351699120986;-10.094
28.0;40.15325204370287;0.600406504;4.789121909617058;5.0;0.0;0.270115385;0.0;-0.15117958537930737;-0.0752640659671581;-0.3182001486962857;-10.115
29.0;99.46673431345577;0.535772358;5.0;5.0;0.0;0.264423077;0.0;-0.13478385882733296;-0.08260180501215156;-0.3010066040853157;-10.408
30.0;199.87628188881374;0.617073171;5.0;5.0;0.9417607198077107;0.257730769;0.0;-0.13237127285037412;-0.09191192228840754;-0.27796288837582556;-11.313
31.0;200.15045411226833;0.578455285;5.0;5.0;1.8800223655535626;0.250153846;0.002175;-0.13445105068562482;-0.10204989053873668;-0.282305948797414;-12.192
32.0;200.17155938155375;0.519918699;5.0;5.0;2.144003855239279;0.241384615;0.02845;-0.12929543323005868;-0.10099746308087086;-0.2714645339836194;-12.432
33.0;200.116148966555;0.428455285;5.0;5.0;1.440950188867452;0.225192308;0.1073;-0.11589615654515852;-0.0886973218400628;-0.24331007046180372;-11.754
34.0;144.19662382044731;0.339430894;5.0;5.0;0.0;0.195192308;0.220525;-0.09993842598831082;-0.07652401345471425;-0.22755227789271654;-10.582
