Consumer;2018_base;2018_high;2018_low;2021_base;2021_high;2021_low;2022_base;2022_high;2022_low
TypeC;9.629106996200676e-7;2.00309597131465e-6;7.409677528658065e-6;5.364381021832898e-6;1.7375017247189817e-6;2.0599552330580195e-6;2.148840615490144e-5;7.539399736300467e-6;1.2320365767370944e-5
TypeA;1.228961726162936e-6;2.3505579869187443e-6;7.751294973434852e-6;5.5111970889143436e-6;1.2211762063785159e-6;2.2420690513058616e-6;2.1382066505371e-5;6.717412290413449e-6;1.2723398178149381e-5
TypeD;8.229240429091789e-7;1.7091698958360269e-6;7.356577961914468e-6;5.3568812852233805e-6;1.2450452415713187e-6;1.9413919543076474e-6;2.084148594416746e-5;6.201378913495148e-6;1.2074151185315074e-5
TypeB;1.0517665640641383e-6;1.930472798505889e-6;7.733663017539527e-6;5.954940760943828e-6;3.953465503414577e-6;2.2602968474672025e-6;2.3690268029952222e-5;9.082656715619919e-6;1.3138121236266898e-5
