Generator,mean,min,max,std
WindOffshore,0.07918362115658101,0.050132264763999686,0.11104444148099814,0.021236436282249894
GasTurbine,0.12917489261188647,0.10200432907534863,0.15237633697851066,0.01719584420924602
Baseload,0.10444345773206505,0.07686311984782412,0.13061255368327856,0.017487077316123176
Peak,0.20018435903154563,0.20012937900064284,0.2002188636243031,3.412816287682121e-5
WindOnshore,0.0778993958991035,0.046874004981121105,0.11694151738073412,0.024957915046628774
SolarPanels,0.07489480587079918,0.05123815549049267,0.11349064089763197,0.021230648492733987
