Consumer;2018;2021;2022
TypeC;-143051.75575271115;-120057.24214198066;-104217.18181675162
TypeA;-68516.17255071757;-50415.969206002104;-37936.68036797156
TypeB;-265599.308490219;-214292.41045995118;-179073.91608464776
