agent;weigthed_obj
TypeB;-619.5203802427477
TypeC;-87.65858063306769
WindOffshore;-614.1118716257699
GasTurbine;-180.95451263100077
TypeA;-418.3277477815261
Baseload;-1331.907667896461
Peak;0.035317453727697234
WindOnshore;-352.7229394517639
SolarPanels;-214.18222822595868
