scen_number;iteration;primal_residual;dual_residual;cfd_primal;cfd_dual
3;1;548.3886615875947;0.0;15.0;0.0
3;1;350.6222119296396;8.276382883286315;5.440107315492792;0.25089044906568464
3;2;252.7667811570582;6.0107898045793435;1.1355081470049466;0.12398864706379477
3;3;188.13285862313109;4.921310690199701;0.5536742575729869;0.05352028750385958
3;4;141.3685586616338;4.245446028836452;1.107521576593367;0.01930299204725666
3;5;108.58250846962417;3.545701894876873;1.1881000660633179;0.0030892025235159256
3;6;86.58466955994867;2.9814902321672574;1.0376355949638416;0.0008885232962848784
3;7;70.80538203450945;2.6290271578405;0.8541620911425332;0.001191793180978351
3;8;58.5888238804107;2.410512393173361;0.6977107031536347;0.0011178914820065653
3;9;48.59318162440708;2.2688971475326336;0.5693170073658704;0.0010091520617391324
3;10;40.005657677286976;2.189463457004846;0.4644838883616549;0.0009063670399529813
3;11;32.481274379383116;2.131368137394957;0.37894715035664017;0.0008134876539610187
3;12;25.87464915075087;2.071791706951615;0.3091615495705513;0.0007300570326452135
3;13;20.14124348306349;2.000105455229593;0.2522273322966342;0.0006551745313624559
3;14;15.252760156293228;1.9181584286188904;0.20577793089591978;0.0005879717483987279
3;15;11.196823258925136;1.8238835822787662;0.16788250571288987;0.0005276619849172121
3;16;8.03594818873514;1.7123049587735566;0.1369657843068639;0.0004735383322910015
3;17;5.8968685191446415;1.5929707402153264;0.1117425903833773;0.0004249662805965466
3;18;4.952060538440526;1.4653908141139278;0.09116442160032268;0.00038137638965575493
3;19;5.047524513645672;1.3281790382285432;0.0743758640379264;0.0003422576368191991
3;20;5.656340296488531;1.191525448209381;0.06067903602355962;0.0003071513659087549
3;21;6.359936991944434;1.0569377550953174;0.049504572896116095;0.0002756460671199461
3;22;6.968617430708132;0.9236557862051203;0.040387963386874226;0.0002473723597133574
3;23;7.41562476574113;0.7964071782402127;0.032950242052824485;0.00022199868744676333
3;24;7.6876942396774615;0.6834847687911293;0.02688222745513702;0.00019922773886750755
3;25;7.79721439033699;0.5977320699528421;0.021931679744594312;0.00017879242900819276
3;26;7.762974819726848;0.5530890354762455;0.017892808764487178;0.0001604532578509943
3;27;7.605537729340054;0.5595288870744766;0.014597725560373753;0.00014399507222128695
3;28;7.3464591332198;0.6139256397672487;0.011909453026205163;0.0001292252034654786
3;29;7.006421619315907;0.7022846640507141;0.009716245250232625;0.00011597019619194626
3;30;6.587371477231508;0.8083637027707117;0.007926931854215447;0.00010407483077495791
3;31;6.070269709868435;0.9172640374326693;0.00646713289237244;9.339960416195799e-5
3;32;5.4672162433881395;1.015654768691301;0.005276165440760927;8.381940295269429e-5
3;33;4.82216687711911;1.094172744266136;0.004304520846120319;7.522198601794079e-5
