scen_number;iteration;primal_residual;dual_residual;cfd_primal;cfd_dual
4;1;280.1327289935412;0.0;11.29812116354365;0.0
4;1;231.90277030416658;0.044290066977080225;25.70558096349086;0.0
4;2;230.83645020210102;0.0027268071343885722;25.980762111560505;0.0
4;3;230.83607666568912;2.926122417774831e-7;25.980762096830187;0.0
4;4;230.83565515929646;3.619204800155833e-7;25.980762107043507;0.0
4;5;230.8351920304671;4.3815903838741953e-7;25.98076211032912;0.0
4;6;230.83468322326183;5.30287741414858e-7;25.980762099410907;0.0
4;7;230.83412306012622;6.413830591215282e-7;25.98076204737708;0.0
4;8;230.83350641309931;7.760409192922835e-7;118.24055333924703;0.0
4;9;230.8328280361662;9.390550262947294e-7;190.42921875619012;0.0
4;10;230.8320818328077;1.1364216261017832e-6;151.22652657653907;0.0
4;11;230.83126118226966;1.3748866551582301e-6;128.72913131441265;0.0
4;12;230.8303583932467;1.6636239042564942e-6;110.16892333917983;0.0
4;13;230.82936531634013;2.0128665289612405e-6;92.52701005968284;0.0
4;14;230.79305902815187;0.0010342497021298294;72.98021963974911;0.0
4;15;230.46271125460825;0.004405263005737215;52.256695589613635;0.0
4;16;229.3435148167776;0.010788646552604423;31.555726963388274;0.0
4;17;226.84069396974735;0.020180021695813382;13.016141459193488;0.0
4;18;222.64908201259084;0.03207026711654411;0.7328705608965274;0.0
4;19;216.60147054126213;0.045811814259568234;0.0;0.0
4;20;208.61723967423993;0.06108331157846388;0.0;0.0
4;21;199.03532660004285;0.07660709226639752;0.0;0.0
4;22;188.52104355641066;0.0901567984218194;0.0;0.0
4;23;177.81791871197382;0.10148168579640837;0.0;0.0
4;24;167.6018656869181;0.10939599172595205;0.0;0.0
4;25;158.34732191490824;0.11384044946498006;0.0;0.0
4;26;150.3189930300992;0.11716517187993422;0.0;0.0
4;27;143.394114925776;0.12059960466494861;0.0;0.0
4;28;137.66778985816842;0.12124494309920798;0.0;0.0
4;29;133.12342191616364;0.1191463649314256;0.0;0.0
4;30;129.7325095046804;0.11341750830539794;0.0;0.0
4;31;127.24693766223244;0.10573718563411526;0.0;0.0
4;32;125.27416601938955;0.10101662098235845;0.0;0.0
4;33;123.35170636086886;0.10237195542488678;0.0;0.0
4;34;121.16915550761533;0.10916707557789117;0.0;0.0
4;35;118.52322097024205;0.12204832347503741;0.0;0.0
4;36;115.2349138502478;0.1451408752633672;0.0;0.0
4;37;111.28889732104116;0.17540755250066842;0.0;0.0
4;38;106.73245844727863;0.20929516457009753;0.0;0.0
4;39;101.64091040758446;0.2454780099385731;0.0;0.0
4;40;96.07776203265834;0.28444466396634577;0.0;0.0
4;41;90.12395049762678;0.3248881743701006;0.0;0.0
4;42;83.87544481446324;0.36517080692031256;0.0;0.0
