iteration,WindOffshore,GasTurbine,Baseload,Peak,WindOnshore,SolarPanels,TypeC,TypeA,TypeB
1,5.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0
2,3.515781478567448,0.0,0.0,0.0,3.36363637692096,3.4697803690952944,-1.6363636363636367,-1.6363636363636367,-1.6363636363636367
3,2.7983482838194735,0.0,0.0,0.0,2.646203182172986,2.75234717434732,-2.3537968311116106,-2.3537968311116106,-2.3537968311116106
4,2.516817883056484,0.0,0.0,0.0,2.364672781409997,2.470816773584331,-2.6353272318745997,-2.6353272318745997,-2.6353272318745997
5,2.424509996553087,0.0,0.0,0.0,2.2723648949066004,2.3785088870809346,-2.7276351183779965,-2.7276351183779965,-2.7276351183779965
6,2.4110802483080955,0.0,0.0,0.0,2.2589351466616083,2.3650791388359425,-2.741064866622988,-2.741064866622988,-2.741064866622988
7,2.427798522874704,0.016718274566608505,0.016718274566608505,0.016718274566608505,2.2756534212282165,2.381797413402551,-2.7243465920563796,-2.7243465920563796,-2.7243465920563796
8,2.4481844677437383,0.03710421943564279,0.03710421943564279,0.03710421943564279,2.2960393660972507,2.4021833582715852,-2.7039606471873454,-2.7039606471873454,-2.7039606471873454
9,2.4655679552980607,0.05448770698996472,0.05448770698996472,0.05448770698996472,2.3134228536515726,2.4195668458259076,-2.6865771596330235,-2.6865771596330235,-2.6865771596330235
10,2.4798339214967013,0.06875367318860542,0.06875367318860542,0.06875367318860542,2.3276888198502133,2.4338328120245483,-2.672311193434383,-2.672311193434383,-2.672311193434383
11,2.491482045830503,0.08040179752240693,0.08040179752240693,0.08040179752240693,2.3393369441840153,2.44548093635835,-2.6606630691005813,-2.6606630691005813,-2.6606630691005813
12,2.5009861278310597,0.08990587952296426,0.08990587952296426,0.08990587952296426,2.3488410261845725,2.454985018358907,-2.651158987100024,-2.651158987100024,-2.651158987100024
13,2.5087400834739584,0.09765983516586307,0.09765983516586307,0.09765983516586307,2.356594981827471,2.4627389740018057,-2.6434050314571254,-2.6434050314571254,-2.6434050314571254
14,2.5150661076155045,0.10398585930740939,0.10398585930740939,0.10398585930740939,2.3629210059690178,2.469064998143352,-2.637079007315579,-2.637079007315579,-2.637079007315579
15,2.520227152215584,0.10914690390748873,0.10914690390748873,0.10914690390748873,2.368082050569097,2.4742260427434313,-2.6319179627155,-2.6319179627155,-2.6319179627155
16,2.5244377550136985,0.11335750670560354,0.11335750670560354,0.11335750670560354,2.372292653367212,2.4784366455415463,-2.6277073599173852,-2.6277073599173852,-2.6277073599173852
17,2.5278729462810348,0.11679269797293956,0.11679269797293956,0.11679269797293956,2.375727844634548,2.4818718368088826,-2.6242721686500494,-2.6242721686500494,-2.6242721686500494
18,2.5306755233836444,0.11959527507554929,0.11959527507554929,0.11959527507554929,2.3785304217371577,2.4846744139114922,-2.6214695915474397,-2.6214695915474397,-2.6214695915474397
19,2.5329619865817614,0.1218817382736662,0.1218817382736662,0.1218817382736662,2.380816884935275,2.4869608771096092,-2.6191831283493228,-2.6191831283493228,-2.6191831283493228
20,2.5348273822270526,0.12374713350259159,0.12374713350259159,0.12374713350259159,2.382682280190288,2.488826272398151,-2.6173177331203976,-2.6173177331203976,-2.6173177331203976
21,2.536349252004361,0.12526900327845003,0.12526900327845003,0.12526900327845003,2.3842041499746798,2.490348142195668,-2.6157958633445393,-2.6157958633445393,-2.6157958633445393
22,2.5375908590375325,0.12651061027380725,0.12651061027380725,0.12651061027380725,2.3854457569992142,2.4915897492932633,-2.6145542563491824,-2.6145542563491824,-2.6145542563491824
23,2.53860381601036,0.12752356676520288,0.12752356676520288,0.12752356676520288,2.3864587137102045,2.4926027061703135,-2.6135412998577867,-2.6135412998577867,-2.6135412998577867
24,2.5394302294745064,0.128349980227211,0.128349980227211,0.128349980227211,2.3872851273429436,2.4934291196354286,-2.6127148863957785,-2.6127148863957785,-2.6127148863957785
25,2.5401044533654136,0.12902420401781067,0.12902420401781067,0.12902420401781067,2.3879593512245827,2.4941033437169713,-2.6120406626051786,-2.6120406626051786,-2.6120406626051786
26,2.540654514428806,0.12957426481775036,0.12957426481775036,0.12957426481775036,2.388509412265834,2.494653404523231,-2.611490601805239,-2.611490601805239,-2.611490601805239
27,2.541103278645982,0.13002302811209338,0.13002302811209338,0.13002302811209338,2.3889581759653895,2.4951021678205496,-2.611041838510896,-2.611041838510896,-2.611041838510896
28,2.541469398991864,0.1303891484499316,0.1303891484499316,0.1303891484499316,2.3893242964574055,2.495468288159734,-2.6106757181730575,-2.6106757181730575,-2.6106757181730575
29,2.5417680958682096,0.13068784529414468,0.13068784529414468,0.13068784529414468,2.389622993532041,2.4957669856776414,-2.610377021328844,-2.610377021328844,-2.610377021328844
30,2.5420117855785174,0.13093153497716312,0.13093153497716312,0.13093153497716312,2.3898666832862,2.4960106758910388,-2.6101333316458257,-2.6101333316458257,-2.6101333316458257
31,2.5422105981346186,0.13113034753209568,0.13113034753209568,0.13113034753209568,2.3900654960299197,2.49620948865764,-2.609934519090894,-2.609934519090894,-2.609934519090894
32,2.542372798033643,0.13129254739792767,0.13129254739792767,0.13129254739792767,2.390227695928104,2.496371688627282,-2.6097723192250615,-2.6097723192250615,-2.6097723192250615
33,2.5425051281515514,0.13142487705928688,0.13142487705928688,0.13142487705928688,2.390360025621364,2.49650401829957,-2.6096399895637026,-2.6096399895637026,-2.6096399895637026
34,2.5426130887148854,0.1315328372638444,0.1315328372638444,0.1315328372638444,2.3904679882084,2.496611978516495,-2.6095320293591446,-2.6095320293591446,-2.6095320293591446
35,2.542701167489497,0.13162091559294975,0.13162091559294975,0.13162091559294975,2.3905560666776258,2.4967000577085026,-2.6094439510300393,-2.6094439510300393,-2.6094439510300393
36,2.5427730314824735,0.13169277375365016,0.13169277375365016,0.13169277375365016,2.390627931469245,2.496771916020801,-2.609372092869339,-2.609372092869339,-2.609372092869339
37,2.5428316628821865,0.13175139750099718,0.13175139750099718,0.13175139750099718,2.390686555234031,2.4968305403515525,-2.6093134691219917,-2.6093134691219917,-2.6093134691219917
38,2.542879490895294,0.131799225389468,0.131799225389468,0.131799225389468,2.390734384840716,2.4968783703515127,-2.6092656412335207,-2.6092656412335207,-2.6092656412335207
39,2.542918511481671,0.13183824577338246,0.13183824577338246,0.13183824577338246,2.3907734056920815,2.4969173909675675,-2.609226620849606,-2.609226620849606,-2.609226620849606
40,2.542950346470815,0.1318700805824123,0.1318700805824123,0.1318700805824123,2.3908052406527025,2.4969492257887245,-2.6091947860405766,-2.6091947860405766,-2.6091947860405766
41,2.5429763188581234,0.13189605286947134,0.13189605286947134,0.13189605286947134,2.3908312133482514,2.496975198212744,-2.6091688137535174,-2.6091688137535174,-2.6091688137535174
42,2.542997508177564,0.13191724215019532,0.13191724215019532,0.13191724215019532,2.3908524027292937,2.496996387499896,-2.6091476244727936,-2.6091476244727936,-2.6091476244727936
43,2.543014795405269,0.13193452931814698,0.13193452931814698,0.13193452931814698,2.390869690045162,2.4970136746737333,-2.609130337304842,-2.609130337304842,-2.609130337304842
44,2.543028899032202,0.13194863292919978,0.13194863292919978,0.13194863292919978,2.3908837936919367,2.4970277783124075,-2.6091162336937885,-2.6091162336937885,-2.6091162336937885
45,2.543040405376839,0.13196013927313358,0.13196013927313358,0.13196013927313358,2.3908953000409743,2.4970392847748175,-2.609104727349855,-2.609104727349855,-2.609104727349855
46,2.543049792860205,0.13196952663923867,0.13196952663923867,0.13196952663923867,2.3909046874088133,2.4970486724262906,-2.6090953399837495,-2.6090953399837495,-2.6090953399837495
47,2.5430574519253,0.1319771852237284,0.1319771852237284,0.1319771852237284,2.39091234603949,2.4970563310158256,-2.60908768139926,-2.60908768139926,-2.60908768139926
48,2.5430637001048084,0.13198343340207822,0.13198343340207822,0.13198343340207822,2.3909185943296474,2.4970625792612653,-2.60908143322091,-2.60908143322091,-2.60908143322091
49,2.5430687978780586,0.13198853096121005,0.13198853096121005,0.13198853096121005,2.3909236918923273,2.4970676768600426,-2.609076335661778,-2.609076335661778,-2.609076335661778
50,2.543072957155837,0.13199268976085307,0.13199268976085307,0.13199268976085307,2.390927850864367,2.4970718359970534,-2.609072176862135,-2.609072176862135,-2.609072176862135
51,2.543076350026933,0.1319960826034949,0.1319960826034949,0.1319960826034949,2.3909312437082924,2.4970752288522537,-2.6090687840194935,-2.6090687840194935,-2.6090687840194935
52,2.5430791181486763,0.13199885070644504,0.13199885070644504,0.13199885070644504,2.3909340118717073,2.4970779969620636,-2.6090660159165435,-2.6090660159165435,-2.6090660159165435
