agent_type;agent;Q_cfd;Q_cfd_total;share_cfd;Q_cfd_bar;cfd_penalty;ζ_cfd;cfd_premium
Gen;WindOffshore;1.8763831690235884;1.876383171125826;NaN;1.8761310409690848;7.998123141561564e-8;-32.637695971386606;-61.24126823904778
Gen;GasTurbine;4.2427271386365883e-11;1.876383171125826;NaN;0.0010772606199317364;1.4601157231481107e-6;-32.637695971386606;-1.384738442828489e-9
Gen;Baseload;2.1531221985776348e-11;1.876383171125826;NaN;0.0010772605990522102;1.4601157231929018e-6;-32.637695971386606;-7.027345815682042e-10
Gen;Peak;3.4993062832714404e-13;1.876383171125826;NaN;0.0010772605786269955;1.4601157252424695e-6;-32.637695971386606;-1.1421012418051463e-11
Gen;WindOnshore;1.9579530446902672e-9;1.876383171125826;NaN;0.0010772625370226911;1.460115727390995e-6;-32.637695971386606;-6.390354037961932e-8
Gen;SolarPanels;7.997635228758338e-11;1.876383171125826;NaN;0.0010772606574385518;1.4601157230335376e-6;-32.637695971386606;-2.6102628312175532e-9
Cons;TypeC;-0.3368903284996546;1.876383171125826;0.1796696882215187;-0.33598250160910526;1.0369357053008343e-6;-32.637695971386606;10.995403985383385
Cons;TypeA;-0.6091162697378509;1.876383171125826;0.3248526924528983;-0.6086430810735605;2.817178774705553e-7;-32.637695971386606;19.88029602887307
Cons;TypeD;-0.334488046206831;1.876383171125826;0.17838850774805745;-0.3345413811830263;3.5790680419367504e-9;-32.637695971386606;10.916998456752854
Cons;TypeB;-0.605309789752756;1.876383171125826;0.32282262802454476;-0.602350382095465;1.1019333568451639e-5;-32.637695971386606;19.756060389978977
