iteration,WindOffshore,GasTurbine,Baseload,Peak,WindOnshore,SolarPanels,TypeC,TypeA,TypeD,TypeB
1,5.000000000007442,5.0000000000025375,5.0000000000025375,10.000000000000739,5.000000000000548,4.999999999997814,0.0,0.0,0.0,0.0
2,5.000000000024329,5.000000000001473,5.000000000309722,9.99999999999773,5.000000000010578,5.000000000015991,1.0266833944165755e-7,8.382561272624335e-7,1.6461683448350334e-6,1.098600110009616e-6
3,5.000000000000807,5.000000000001711,5.000000000258426,10.000000000002416,5.000000000006487,5.000000000003233,5.983947489501859e-7,3.8994870877877707e-7,3.841230504313243e-6,-3.0801126836466823e-7
4,4.999999999995362,5.000000000005986,5.000000000019398,10.000000000002851,5.000000000003064,5.000000000000445,2.593028863412905e-7,2.428666015030349e-6,2.1326217345310337e-5,-1.0950303066383667e-6
5,4.999999999991392,5.000000000016893,5.000000000009794,10.000000000004208,5.000000000002498,4.999999999999509,1.7142529862922677e-7,1.5385534975045078e-7,6.434114107815366e-7,-2.0909477633062765e-7
6,4.999999999994024,5.000000000018877,5.000000000002,9.999999999997952,4.999999999998445,4.999999999979081,1.122167205028211e-6,3.833562717967709e-7,5.327360747918959e-7,-1.6117734781839585e-7
7,4.999999999993075,5.000000000116113,5.0000000000003935,9.999999999995318,4.999999999998235,4.999999999997269,1.5795424340288036e-7,4.104486812935438e-7,9.533366258278633e-8,-2.9996211875122926e-8
8,4.999999999999062,5.000000000263269,4.99999999999695,9.999999999993088,4.9999999999986064,4.999999999996961,1.1869694382713357e-7,1.1059696751498684e-7,5.607118318579566e-7,5.980950418961777e-7
9,4.999999999998987,5.0000000000489155,4.999999999997731,9.999999999993616,4.999999999998592,4.999999999996926,1.1422715444034602e-7,4.4780604080711965e-8,5.777863217889298e-7,6.932842009264763e-7
10,4.999999999999264,5.000000000487716,4.9999999999925455,9.999999999999732,4.999999999998502,4.999999999996832,3.6887517305768515e-9,-2.1248955808276613e-9,1.2581157044044469e-6,4.99655347699934e-7
11,4.9999999999910045,5.000000000094169,4.999999999993213,9.999999999999938,4.999999999998458,4.99999999999636,1.4095504395622497e-7,1.735130685752787e-6,1.4603140119573354e-6,-3.975690834174008e-8
12,4.9999999999915,5.000000000124308,4.999999999992774,10.000000000000098,4.999999999998416,4.999999999993511,2.1738539602846542e-6,2.770310458314837e-7,9.530377550582612e-7,5.264391012368991e-7
13,4.999999999992431,5.000000000271417,4.999999999989804,10.000000000000519,4.9999999999984075,4.999999999995638,2.094973153585186e-6,1.1063648788773523e-6,8.754022506236265e-8,-4.3282439233735086e-7
14,4.99999999999426,5.000000000025681,4.999999999990037,10.000000000000409,4.999999999997678,4.999999999992602,1.339046484055378e-7,1.4919619006849443e-7,8.455803820592226e-8,6.086756788864587e-7
15,4.999999999998691,5.00000000002057,4.999999999992409,10.000000000000185,4.999999999997352,4.99999999996978,1.7795078456890612e-7,1.429759599537478e-7,3.9849613569820527e-7,2.1134434366506967e-7
16,4.999999999998757,5.00000000009108,4.9999999999876925,10.000000000000075,4.9999999999966045,4.999999999967123,1.3264836364282938e-7,6.630995181793878e-7,5.524620632814907e-8,4.700140572461292e-7
17,4.999999999998165,5.000000000006042,4.999999999975111,9.999999999999986,4.999999999995351,4.999999999992098,1.7862750086555069e-6,5.879273655406049e-7,3.6415929387136905e-8,1.447238113711356e-6
18,4.999999999995021,5.000000000043836,4.999999999981785,9.999999999998487,4.999999999995946,4.999999999957529,2.2501598934623955e-6,5.077839908647804e-7,2.0694199474516255e-7,5.795894795878482e-7
19,4.999999999993871,5.000000000006729,4.999999999989997,9.999999999996646,4.999999999994442,4.999999999945394,1.337061331184292e-5,9.921660911083348e-7,7.808914206432027e-7,-1.3167487012233342e-7
20,4.999999999992455,5.00000000000426,4.999999999987007,9.999999999997497,4.999999999993625,4.999999999985584,6.298926326272348e-8,1.6158834957084447e-8,-9.475866813086636e-7,1.5973694180194343e-6
21,4.999999999982203,4.999999999999875,4.999999999939256,9.999999999971884,4.999999999977016,4.999999999926147,-3.6682865441123104e-8,4.295787358745792e-7,2.6841822817159815e-8,-3.4913447365827663e-8
22,4.999999999981904,4.999999999999544,4.999999999985213,9.999999999967532,4.999999999975022,4.999999999914503,7.812428547669854e-7,5.575841703636743e-7,-1.5276178249384316e-7,1.886628773726451e-7
23,4.999999999982586,4.999999999998704,4.999999999967806,9.999999999963611,4.999999999971469,4.999999999907158,4.3800394858207094e-7,1.6919393029293606e-6,-6.879596943972854e-7,-2.144232698056656e-8
24,4.999999999980478,4.999999999997865,4.999999999924407,9.999999999961377,4.999999999966604,4.999999999887643,2.146506848727581e-7,2.7861500332207144e-9,-5.834005773634542e-6,3.5394217101704572e-9
25,4.999999999980025,4.999999999997142,4.999999999958216,9.99999999999837,4.999999999962175,4.999999999988791,1.6365644810486704e-6,1.576225675562473e-8,-1.1199978064425702e-6,3.6454420142877147e-7
26,4.999999999981336,4.999999999996212,4.9999999999136735,10.000000000000327,4.99999999995605,4.999999999986769,5.538365956261853e-6,5.669173787036422e-9,-3.4199750110599936e-6,-1.0292138688054464e-7
27,4.99999999998066,4.999999999997317,4.999999999909148,10.000000000002787,4.999999999951574,4.9999999998509965,2.245191283170701e-6,6.198145504666154e-8,-1.4555756955864802e-6,2.758520972649949e-7
28,4.999999999956403,4.999999999996748,4.999999999962351,10.000000000005008,4.999999999949345,4.999999999876767,4.513803863042202e-6,-1.2525026696964335e-7,-2.783656227900661e-6,2.428983364986916e-7
29,4.999999999944992,4.999999999997463,4.999999999961659,10.000000000006292,4.999999999943727,4.999999999932823,2.317743092663008e-6,-1.1258533988034907e-7,-3.873644184256595e-6,-7.193051393633559e-7
30,4.999999999985269,4.9999999999774705,4.999999999968999,10.000000000007196,4.99999999992375,4.99999999978507,2.6067759070322873e-6,-2.3402236323231556e-7,-6.623874382558402e-7,-9.355022461760651e-7
31,4.999999999983639,4.999999999996039,4.999999999847303,10.000000000006887,4.99999999989972,4.999999999728357,-1.1660071537879098e-6,-1.9298001495526582e-6,-2.7382328149957894e-6,-1.5240936489308123e-5
