agent_type;agent;Q_cfd;Q_cfd_total;share_cfd;Q_cfd_bar;cfd_penalty;ζ_cfd;cfd_premium
Gen;WindOffshore;4.60854600546665e-11;3.9996231716923827;NaN;0.00020143027671063555;3.539972261774449e-7;9.253415695983193;4.264324196308512e-10
Gen;GasTurbine;1.3093925854471703e-11;3.9996231716923827;NaN;0.00020143024283570402;3.5399722307244716e-7;9.253415695983193;1.2115913517985894e-10
Gen;Baseload;9.98623812788072e-12;3.9996231716923827;NaN;0.00020143023972753654;3.539972230707609e-7;9.253415695983193;9.240345399244497e-11
Gen;Peak;1.8737281008337783e-12;3.9996231716923827;NaN;0.00020143023161513297;3.5399722307113505e-7;9.253415695983193;1.7337754832458507e-11
Gen;WindOnshore;1.0117368729779852e-9;3.9996231716923827;NaN;0.00020143124216132592;3.5399722547193776e-7;9.253415695983193;9.361681585948866e-9
Gen;SolarPanels;3.9996231706096066;3.9996231716923827;NaN;3.99980721276353;2.955188449504931e-7;9.253415695983193;37.00883064271308
Cons;TypeC;-1.0004197685460652;3.9996231716923827;0.25012959343234653;-1.000235702103795;2.95596846555668e-7;9.253415695983193;-9.256963520415958
Cons;TypeA;-1.0003857988106246;3.9996231716923827;0.2501211001614398;-1.0002017233309852;2.956258686737101e-7;9.253415695983193;-9.256649195757792
Cons;TypeD;-1.0003712812309709;3.9996231716923827;0.25011747040879934;-1.000187351804734;2.9515693888981787e-7;9.253415695983193;-9.256514863441014
Cons;TypeB;-1.000373765863471;3.9996231716923827;0.2501180916281481;-1.0001895877570657;2.959556066883806e-7;9.253415695983193;-9.25653785394274
