scen_number;sens;iteration;primal_residual;dual_residual;converged;cfd_primal;cfd_dual
2;ref;1;0.0;0.0;false;0.0;0.0
2;ref;2;314.2520777637589;3.8907001947266293;false;0.0;0.0
2;ref;3;308.4532554462926;8.284672068902973e-5;false;0.0;0.0
2;ref;4;308.4533937273151;2.2941142753856897e-6;false;0.0;0.0
2;ref;5;308.4533937610371;4.363232591189678e-6;false;0.0;0.0
2;ref;6;308.45339377985044;4.999972131165471e-6;false;0.0;0.0
2;ref;7;308.45339376766344;5.547639217535299e-6;false;0.0;0.0
2;ref;8;308.4533937819787;9.287535636864377e-7;false;0.0;0.0
2;ref;9;308.4533937781838;7.541026481231704e-7;false;0.0;0.0
2;ref;10;308.45339378256267;3.584124150834599e-7;false;0.0;0.0
2;ref;11;308.45339378367015;3.9411543777073314e-6;false;0.0;0.0
2;ref;12;308.45339377508463;2.6351718532331925e-6;false;0.0;0.0
2;ref;13;308.45339378305715;6.8639015808584025e-6;false;0.0;0.0
2;ref;14;308.45339376727117;9.97524927377778e-6;false;0.0;0.0
2;ref;15;308.4533937699827;1.0854265819706053e-5;false;0.0;0.0
2;ref;16;308.45339375686643;1.0510281964158457e-5;false;0.0;0.0
2;ref;17;308.4533937641317;9.042426053454011e-6;false;0.0;0.0
2;ref;18;308.4533937525382;1.3540227944635209e-5;false;0.0;0.0
2;ref;19;308.453393767544;1.676801056186224e-5;false;0.0;0.0
2;ref;20;308.4533937534106;0.5211812323653711;true;0.0;0.0
2;ref;21;308.4329062064983;;false;0.0;
