agent;weigthed_obj
TypeB;-1287.1468492963518
TypeC;-59.97510654745497
WindOffshore;-1297.3034104972612
GasTurbine;-2852.4995846867096
TypeA;-1287.219433875237
Baseload;-4092.424527649535
Peak;-1.4457032483041985
WindOnshore;-720.5037276830844
TypeD;-59.902379571916754
SolarPanels;-425.8716446101753
