agent_type;agent;Q_cfd;Q_cfd_total;share_cfd;Q_cfd_bar;cfd_penalty;ζ_cfd;cfd_premium
Gen;WindOffshore;7.962776715002235e-9;3.450957708777109;NaN;-0.000587512772236555;1.0240621318871787e-6;7.37064840528626;5.8694602683173156e-8
Gen;GasTurbine;0.0;3.450957708777109;NaN;-0.0005875160434650085;1.0240457769997825e-6;7.37064840528626;0.0
Gen;Baseload;0.0;3.450957708777109;NaN;-0.0005875160434650085;1.0240457769997825e-6;7.37064840528626;0.0
Gen;Peak;0.0;3.450957708777109;NaN;-0.0005875160434650085;1.0240457769997825e-6;7.37064840528626;0.0
Gen;WindOnshore;1.0556102152344762;3.450957708777109;NaN;1.0550046609698684;1.0878926532953415e-6;7.37064840528626;7.781032218918509
Gen;SolarPanels;2.395347485579856;3.450957708777109;NaN;2.3952852632328607;1.148610095924596e-8;7.37064840528626;17.656399769362114
Cons;TypeC;-0.643252442448639;3.450957708777109;0.18637084541935398;-0.644473506818322;4.423408290765707e-6;7.37064840528626;-4.741492557912692
Cons;TypeA;-1.064485736466623;3.450957708777109;0.30841562899773783;-1.0656008071268175;3.688796418543916e-6;7.37064840528626;-7.8464547732575545
Cons;TypeD;-0.6550889155435752;3.450957708777109;0.1898002509713785;-0.6566297567057826;7.043615709356743e-6;7.37064840528626;-4.828740651177498
Cons;TypeB;-1.0801402968306153;3.450957708777109;0.312951256781131;-1.0812357926491751;3.5604210366635414e-6;7.37064840528626;-7.9618464555350625
