iteration,WindOffshore,GasTurbine,Baseload,Peak,WindOnshore,SolarPanels,TypeC,TypeA,TypeD,TypeB
1,5.000000000003287,5.000000000003409,5.000000000003409,10.000000000002025,4.999999999999676,4.999999999961103,0.0,0.0,0.0,0.0
2,5.0000000000425375,5.000000000015763,5.000000000431814,10.000000000003501,5.000000000008806,5.00000000001982,2.8604285088004474e-8,3.044492031440666e-9,-4.2760120496056037e-7,-1.4412386198165525e-6
3,5.000000000000037,5.000000000008498,5.000000000404722,10.000000000003817,5.000000000014804,5.000000000008413,3.2066619444948485e-8,1.4929229081717623e-7,-1.4634847980549792e-7,-3.84871938440989e-6
4,4.999999999991652,5.000000000002987,5.000000000015241,10.000000000007134,5.000000000012922,5.000000000002003,3.979691290241855e-8,1.8397869348327428e-7,-1.236122530093268e-6,-1.1641668276909841e-6
5,4.999999999995647,5.000000000032657,5.000000000022512,10.000000000006803,5.00000000001013,4.999999999999392,1.1020914186003192e-7,-1.1782919773822125e-8,-4.486747574916962e-7,-3.2040038804891934e-7
6,4.999999999997607,5.0000000000495675,5.000000000005516,9.999999999992289,4.999999999996353,4.999999999994504,2.228780718691336e-8,2.8801139885325972e-8,-3.383376536866956e-7,-7.482877377678714e-8
7,4.999999999997217,5.000000000014051,4.99999999999874,9.999999999987594,4.999999999997565,4.9999999999934275,9.269759578618722e-8,1.2604661938291925e-7,-4.1144371642133014e-8,-2.4571615123786073e-8
8,4.999999999997187,5.000000000214277,4.999999999996564,9.999999999998584,4.999999999992575,4.999999999992452,5.459958230701937e-8,5.636079151052317e-8,-3.5968319969768664e-8,-3.0214663588844607e-6
9,4.999999999997351,5.0000000000753655,4.999999999992623,9.99999999999743,4.999999999996818,4.999999999990686,2.5129349086588032e-9,5.35952766764671e-7,-6.004400446194286e-8,-7.883027525088895e-9
10,4.999999999996879,5.0000000000543885,4.999999999996764,9.999999999996332,4.999999999997253,4.999999999988348,4.373170838143957e-8,1.2580266791572193e-7,-2.0306510429273917e-7,-1.0420591475781887e-8
11,4.99999999999634,5.000000000046453,4.9999999999915445,9.999999999996561,4.99999999999732,4.999999999983993,-2.2618265686825486e-7,2.5662539777761407e-6,5.448519049448898e-8,1.3582260472749925e-8
12,4.99999999999659,5.000000000202092,4.99999999999449,9.999999999999567,4.999999999988526,4.999999999983437,1.1464829932788503e-7,3.2312501797260747e-7,-9.502134519041536e-7,3.084834638180205e-8
13,4.999999999996547,5.000000000024488,4.999999999995949,9.999999999999417,4.999999999986661,4.9999999999824185,1.4293977623902267e-8,1.1610658585936636e-6,-4.640816315647995e-7,6.22270680314227e-9
14,4.999999999996442,5.000000000019414,4.999999999975878,9.999999999998447,4.99999999998953,4.999999999981344,1.4449906913408347e-8,8.353220160309668e-8,-2.5018337945275845e-6,-2.2790026744343052e-7
15,4.999999999997261,5.000000000054471,4.999999999988202,9.99999999999806,4.999999999991344,4.999999999949545,8.650850347285579e-9,1.6709336370041154e-7,-1.3846530035378995e-6,6.475417022730075e-9
16,4.999999999995666,5.000000000050207,4.99999999999595,9.999999999997698,4.999999999983,4.999999999952379,2.1595601408143073e-8,8.2531132927675e-8,-2.731958865946207e-7,9.913644115661685e-9
17,4.999999999993319,5.000000000007326,4.999999999968731,9.999999999997478,4.999999999980454,4.999999999946206,3.963557547251502e-9,3.1706557696677817e-7,-2.925069584838121e-7,-2.3002214357087156e-9
18,4.999999999992595,5.000000000005244,4.999999999988941,9.999999999997307,4.999999999981196,4.999999999969741,1.42492024974749e-7,1.9212018010484067e-8,-1.0411179683970558e-6,-4.8718146149755e-7
19,4.9999999999855715,5.000000000005978,4.9999999999918545,9.999999999993832,4.9999999999887,4.999999999972358,5.288137108291044e-7,5.762672733971173e-6,7.741202464711104e-7,-2.7948648360712195e-7
20,4.999999999992233,5.000000000003922,4.999999999939991,9.999999999990912,4.999999999986963,4.999999999971729,3.600061115771649e-7,3.2662325831094607e-7,1.4317152080529625e-6,-9.144095884798633e-8
21,4.999999999961028,4.999999999999512,4.999999999947136,9.9999999999826,4.999999999978752,4.999999999986401,1.2202553565203705e-6,9.320581272836343e-7,2.806623037774523e-7,-5.45425276283169e-7
22,4.9999999999629585,4.99999999999893,4.9999999999489635,9.999999999973175,4.999999999939435,4.9999999999871,8.818945582780038e-8,1.1159314529682144e-7,-1.8620084621271317e-6,-1.4631831152120866e-7
23,4.999999999978347,4.999999999997945,4.999999999933994,9.999999999986944,4.999999999945247,4.999999999880615,5.286395006094847e-7,1.0691265704946782e-8,7.905012826474513e-7,-8.904459063936678e-8
24,4.999999999979744,4.999999999998287,4.999999999959447,9.999999999981785,4.999999999943728,4.999999999896404,-2.1260709966496557e-10,8.276613346829337e-8,-2.841427222413527e-6,6.29659376758099e-9
25,4.99999999997646,4.999999999997424,4.999999999982582,9.99999999999607,4.999999999978867,4.999999999869945,4.538373079687331e-7,1.1944461767545553e-7,-2.3892486768522e-6,4.6832073275589394e-8
26,4.999999999986879,4.999999999997606,4.999999999854746,9.999999999999359,4.999999999980259,4.999999999949144,6.132024503227496e-8,2.8282030050921203e-8,-5.867258542841688e-7,1.5629383984659247e-7
27,4.999999999982238,4.999999999967733,4.9999999999088045,9.99999999999879,4.999999999965491,4.999999999829458,1.5970984573537893e-6,1.4395832922061656e-6,5.831606020173175e-6,8.98644048459629e-9
28,4.999999999976046,4.999999999991133,4.999999999841625,10.000000000000883,4.999999999977579,4.999999999826262,3.85271371307931e-6,-5.323882928523497e-9,1.2334936877777518e-6,-1.5591216627658356e-6
29,4.999999999979208,4.999999999971258,4.999999999980686,10.000000000012486,4.999999999980276,4.99999999981127,6.904531622904349e-6,-1.7126027360755577e-8,4.755157778216935e-6,-5.6079523805277254e-8
30,4.999999999982262,4.9999999999907265,4.99999999990586,10.000000000021684,4.999999999973482,4.999999999664532,9.122228899593045e-6,-5.016586643621364e-7,1.0536800482400894e-6,-4.630013657931864e-9
31,4.9999999999751585,4.999999999952329,4.999999999972234,10.000000000067013,4.99999999992283,4.99999999995019,1.744017000184845e-6,-7.648467868689502e-7,1.482367607841004e-7,-1.0807435738199856e-7
32,4.999999999949056,4.999999999981803,4.999999999961745,9.999999999985512,4.999999999752855,4.999999999760945,5.119600421378073e-6,-3.7892705076081183e-7,-1.281220040440264e-6,-1.7382446122899567e-6
33,4.999999999754928,4.9999999999378115,4.999999999760544,9.999999999968244,4.9999999999587335,4.999999999882456,-1.942903039958869e-5,-2.0871067978469337e-6,-0.0001391342895457011,-4.332007546942227e-6
34,4.999999999874981,4.894242974838385,4.99999999946033,0.27686274372053354,4.9999999999337295,4.9999999998600035,-1.5004094620347279e-5,-5.1630125936924773e-5,-0.0019717215677898803,-5.795835306626076e-5
35,4.99999999993026,4.87433643964029,4.999999999835322,0.09550691598486506,4.99999999993233,4.999999999789395,-0.23118483538143292,-0.37083080697862214,-0.23147055157542432,-0.3707166617960854
36,4.999999999916698,4.796646135259424,4.999999999367856,8.137852922043598e-12,4.999999999893124,4.999999998888346,-0.2410317729929838,-0.4247711261273824,-0.2411053451746334,-0.4258529821778856
37,4.999999999966904,4.706420875265691,4.99718273003263,6.175788861267706e-12,4.999999999173283,4.999999998437663,-0.2614613481182571,-0.43947175322314214,-0.2616047883127286,-0.4397374506216973
38,4.999999999900549,1.6735962218190523e-9,2.2151917259336965e-9,1.0732514491142119e-11,4.929017071704476,4.999999979278048,-0.28749719334825385,-0.6066607602074843,-0.28742469110830693,-0.6067491029200901
39,4.999999999733406,9.204643989354054e-11,1.7071514592926198e-10,1.8319267789815273e-11,4.920079939653678,4.965691592371749,-0.5528491089837911,-1.0042549831486502,-0.553647334050521,-1.0046079976790376
40,4.999999999714486,2.6313501477444564e-11,1.9506862382197097e-10,1.4060251162840968e-11,4.926746510255304,4.968588268751956,-0.6022477980435987,-1.0217366400730774,-0.602733881287186,-1.0220195791704756
41,3.72684042047378,3.867433982441933e-11,3.146344201743985e-10,5.7572445248465414e-12,4.93257287728591,2.218223800292688,-0.83747089182141,-1.3376844130101813,-0.8373217611041822,-1.3450627273326263
42,2.257806384320581,2.852025987115848e-11,7.572696288471257e-11,2.4392816567621818e-11,1.4682031240030402,9.692475691235435e-10,-0.7833644401476025,-1.2902732574257252,-0.7832497896316204,-1.2914167879096938
43,2.4717046120612483,8.311466931249414e-12,4.2609731206425644e-11,1.1529911779882281e-11,5.757118696331574e-9,9.189700484931538e-10,-0.5839265647974913,-1.0003039346350053,-0.5839876891797345,-1.000147294694302
44,2.673627645003184,0.0,0.0,0.0,0.07755290916795049,7.493584790544292e-10,-0.5097605862840459,-0.826708680274725,-0.5219573551520327,-0.8419227553148683
