Consumer;2018_base;2018_high;2018_low;2021_base;2021_high;2021_low;2022_base;2022_high;2022_low
TypeC;17.676855177044065;0.0001136198968437603;30.080246454262166;1.345248104449678e-5;1.7643456258786242e-5;20.441284794525348;1.969147574137233e-5;2.2380519405378126e-5;1.5298359199518672e-5
TypeA;18.000495374100964;1.7410611482786783e-5;30.641622042037007;3.252716980864577e-6;4.321857515398926e-6;17.598301221681076;8.526484651566615e-6;1.0182713400442114e-5;6.6247152988885965e-6
TypeD;17.670120668411467;0.0008248656772684147;30.073569889358968;8.815954207946281e-5;0.00014305937370472178;20.4341174954074;0.00017942047279404517;0.00020046737219222907;0.00012723879843345277
TypeB;17.918215997571895;0.0005552647676917872;30.499391395824944;0.00011541975546363493;0.00015454923041323778;19.54439010279868;0.00017176404417085608;0.00017182021143957282;0.00014585067150594684
