Generator;2018_base;2018_high;2018_low;2021_base;2021_high;2021_low;2022_base;2022_high;2022_low
WindOffshore;4.862154668877127e-8;4.851868864869668e-8;4.864202839565997e-8;1.1058654303127977e-7;4.9100890130961315e-8;5.13394651822311e-8;213.25633535595338;172.5783825811589;279.31135614245613
GasTurbine;3.6710077127944114e-9;3.62256162100881e-9;3.946088159165165e-9;2.9012555466986847e-9;237.12551389478188;3.664014244344514e-9;514.0927067905577;914.3643973181732;1.4014643057093604e-8
Baseload;4.4377346496013956e-8;4.317538503017862e-8;4.513688756634378e-8;3.846092769561135e-8;245.4335276922978;4.334481110460895e-8;517.8586829851663;952.5202728309439;1.4343434564313374e-7
Peak;2.2094024463124146e-9;1.9641063569735733e-9;2.3132097798062044e-9;7.705100856644768e-9;0.0037234874048854712;0.00040853887903435714;2.8185661957213737e-9;0.00808048300205237;1.9580718621194564e-9
WindOnshore;2.435677456975057e-8;2.3750890538135123e-8;2.3928328656304695e-8;3.481119718687753e-8;2.4078541372862645e-8;72.80051615784787;63.126801214005454;3.45855703555421e-8;139.56938081631793
SolarPanels;1.1079223182222598e-8;1.1707233021108648e-8;1.132111598818284e-8;3.000882142944166e-8;1.1619966791546105e-8;58.331039832437874;32.767696654569654;1.1488807904455045e-8;97.75442061245252
