Generator;2018_base;2018_high;2018_low;2021_base;2021_high;2021_low;2022_base;2022_high;2022_low
WindOffshore;5.939638548113635e-6;7.2362499423661575e-6;5.2387801829922864e-6;2.189970032873134e-6;1.2093608603436223e-6;2.463035926325574e-6;5.296713879943127e-6;1.5245730082824593e-6;4.282056409010693e-6
GasTurbine;5.204742024034203e-7;1.2971417788776307e-6;3.7100068084328086e-7;1.0039390190286213e-6;3.3095716389652807e-7;1.0880103218369186e-6;1.22583355732786e-6;5.975603301067167e-7;1.2038154295623826e-6
Baseload;5.5402404086635215e-6;6.046227895240008e-6;5.011814664612757e-6;1.926523395923141e-6;8.680335668032058e-7;2.41490874941519e-6;4.188750494904525e-6;9.350501670724043e-7;3.3987479923780484e-6
Peak;5.795764712601681e-6;7.0957921207912e-6;5.081231879699999e-6;2.1904480433931894e-6;1.1887161548429503e-6;2.462062269614762e-6;5.243716159952783e-6;1.5195281761748447e-6;4.213886306558834e-6
WindOnshore;5.933461380891458e-6;7.221854446015641e-6;5.234388652297639e-6;2.1908987228869137e-6;1.2005380334301208e-6;2.4578050576984367e-6;5.295462528920325e-6;1.5286915413526003e-6;4.2809965350443235e-6
SolarPanels;5.932686336024306e-6;7.218657164474555e-6;5.234604695582953e-6;2.188618943322132e-6;1.1957128399492367e-6;2.457635846306143e-6;5.294071254129205e-6;1.529270644264058e-6;4.27954746619406e-6
