agent_type;agent;Q_cfd;Q_cfd_total;share_cfd;Q_cfd_bar;cfd_penalty;ζ_cfd;cfd_premium
Gen;WindOffshore;1.7817302634455246e-10;4.796605076035606;NaN;-0.0009544936320071532;7.711621037331412e-6;4.575743037636143;8.155103443453148e-10
Gen;GasTurbine;8.557084549226649e-11;4.796605076035606;NaN;-0.00095449372437929;7.711621033614231e-6;4.575743037636143;3.91663716472825e-10
Gen;Baseload;3.233450965136795e-11;4.796605076035606;NaN;-0.0009544937776294739;7.711621033837994e-6;4.575743037636143;1.479973015052859e-10
Gen;Peak;4.774418346354169e-12;4.796605076035606;NaN;-0.0009544938051718761;7.711621033552164e-6;4.575743037636143;2.1852845122327468e-11
Gen;WindOnshore;2.141968000887323e-9;4.796605076035606;NaN;-0.0009544916711369439;7.711621084591395e-6;4.575743037636143;9.80393664416013e-9
Gen;SolarPanels;4.796605073592785;4.796605076035606;NaN;4.795992351390056;3.1778009201843815e-6;4.575743037636143;21.95439531733437
Cons;TypeC;-1.1971920814085275;4.796605076035606;0.24957376419496258;-1.1978048234270957;3.178006437565273e-6;4.575743037636143;-5.479631494101312
Cons;TypeA;-1.197191249319922;4.796605076035606;0.2495735907328351;-1.1978039426530975;3.177501435303043e-6;4.575743037636143;-5.479627685573842
Cons;TypeD;-1.197194132071213;4.796605076035606;0.2495741916882725;-1.1978069119477655;3.1783991563116842e-6;4.575743037636143;-5.479640880127171
Cons;TypeB;-1.1971914808593969;4.796605076035606;0.24957363900092777;-1.197804206751772;3.1778391598180633e-6;4.575743037636143;-5.479628745346136
