iteration,WindOffshore,GasTurbine,Baseload,Peak,WindOnshore,SolarPanels,TypeC,TypeA,TypeD,TypeB
1,5.000000061337737,5.0,5.0,10.0,5.000000000192898,5.000000000071218,0.0,0.0,0.0,0.0
2,5.00000000000109,5.000000000130206,5.000001654936504,10.000000000751646,5.000000000000508,5.0000000000090665,6.029349461865936e-10,1.2143301894151117e-8,1.3159968458367076e-9,1.1420907453491416e-8
3,4.999999999983854,5.000000052673851,5.000000550645709,10.00000010381884,4.9999999999677165,5.000000000005385,2.7059255100414443e-9,5.519590493875212e-9,1.236195486526491e-10,2.097159446431265e-11
4,4.999999999999518,5.000000000178136,5.000000000009213,10.00000006597535,4.999999999998948,5.000000000000656,-2.429224414789589e-11,3.1193652355723127e-9,-5.751009354023769e-10,3.14840134793741e-10
5,4.999999999996612,5.000000000333929,5.0000000000060005,10.000000034622987,4.999999999995229,5.000000000000894,-1.0584878788495368e-10,4.288929080091593e-9,-2.4204889945394527e-10,1.9023991688780247e-10
6,4.999999999995092,5.000000000074331,5.000000000006632,10.000000085590164,5.000000000002153,5.000000000000667,-1.1466693832493903e-10,9.298942429415556e-9,-1.3814924155682074e-10,1.224548284565467e-10
7,4.999999999999272,5.000000000052845,5.000000000000211,10.000000000417101,5.000000000001823,4.99999999999945,5.344920987390923e-11,5.7570208835785895e-9,-1.9860779588035046e-10,-3.0298278967910436e-11
8,4.999999999995285,5.000000000066892,4.999999999999408,10.000000058321005,5.000000000001843,4.999999999998109,-5.632395256560578e-11,4.402516886010332e-9,-1.2063134616033904e-9,-2.37468817783072e-11
9,4.999999999995133,5.000000000353585,4.999999999998602,10.000000017310322,5.000000000001564,4.9999999999974785,-1.0948809138314889e-10,1.423926830526933e-10,-1.4157772429711438e-9,-6.184729412061726e-10
10,4.9999999999999885,5.000000000094376,4.999999999998049,10.000000084011191,5.000000000001072,4.999999999989859,-4.0108986720877674e-11,1.493081824961073e-9,-1.5964800749082287e-10,-2.6646434186454193e-11
11,5.000000000000004,5.000000142317611,4.999999999997593,10.000000001094419,5.000000000000954,4.999999999982099,2.948100975078072e-11,5.614118995741417e-11,-1.0151579244673796e-9,1.2708675580910255e-10
12,5.000000000000019,5.000000073516258,4.999999999997332,10.00000000019105,5.00000000000082,4.999999999980779,4.713053466876143e-10,4.432176664349785e-9,1.0991296774558958e-12,2.075302562153509e-10
13,5.000000000000052,5.00000002860632,4.999999999984009,10.00000000013807,5.000000000000652,4.9999999999878835,2.8561500278115886e-10,1.915771733535038e-10,5.6611833649894085e-11,1.9569303057561336e-10
14,5.000000000000046,5.000000020712826,4.999999999982168,10.000000000185464,5.000000000000427,4.999999999987425,2.5421560345675864e-10,1.4804859338308668e-9,3.994169654275549e-11,8.957016730148693e-11
15,4.999999999999998,5.000000000056315,4.999999999983531,10.000000000240382,5.000000000000119,4.999999999984375,1.8057058890586485e-9,2.7924239342412387e-10,4.1245421621601085e-11,-2.427587007285223e-10
16,4.999999999996631,5.000000000008573,4.9999999999875016,10.000000000225404,4.999999999999293,4.999999999983338,1.652316798367765e-10,2.5027390124066265e-9,8.131993983095639e-11,-2.0998716141512718e-10
17,4.999999999999415,5.000000000008628,4.99999999999883,10.00000000012414,4.999999999998002,4.999999999982242,-8.502179181154699e-11,2.19976213911238e-9,-1.2207483458962468e-11,-2.2000622893997332e-10
18,4.999999999995965,5.000000000018197,4.999999999998119,10.000000000141393,5.000000000002418,4.999999999978616,4.673130888703189e-11,-4.4184132649525175e-10,-8.83626547971471e-11,-2.8062267043956634e-11
19,4.999999999997894,5.000000000001462,4.9999999999969615,10.000000000137664,4.999999999999607,4.999999999976153,4.873487476872601e-12,-1.1520943780186296e-9,1.8067191595693321e-12,-1.497192566965745e-11
20,4.999999999997065,5.000000000001564,4.999999999994676,10.000000000141432,4.999999999998655,4.999999999972294,1.8569122560936445e-10,1.6739931674258953e-10,-8.105411710486455e-10,5.6890696023193406e-11
21,4.999999999960933,5.0000000000002505,4.9999999999692655,10.000000000123077,4.999999999991948,4.999999999992874,1.0625410851566315e-10,2.0077352417440538e-10,-1.5710818288047398e-10,8.584696743461661e-10
22,4.999999999956922,4.999999999999863,4.999999999959779,10.00000000014071,4.999999999990794,4.99999999999182,2.065267687086328e-10,2.373306917370465e-10,-1.0658614304862743e-9,-2.6250693324914304e-10
23,4.999999999994624,4.99999999999929,4.999999999949076,10.000000000130253,4.999999999995341,4.999999999992539,3.097113514408354e-10,-7.184295086833962e-10,-1.6935849947394719e-9,-5.70974201672416e-11
24,4.999999999993385,4.999999999999881,4.999999999963002,10.00000000000385,4.999999999984049,4.999999999991638,3.5317452498635744e-10,3.8920735326650116e-10,-5.15722882820985e-10,4.815260450112329e-10
25,4.999999999992373,4.99999999999867,4.999999999968305,10.000000000013605,4.9999999999809255,4.999999999939893,4.1050985260350757e-10,3.812816079538327e-10,-2.345776427374702e-10,2.2801613492838325e-8
26,4.999999999991687,4.999999999996394,4.999999999989869,9.999999999985004,4.999999999978849,4.999999999933395,1.4736592557574593e-10,-8.931874811441087e-10,-1.3116143508933672e-9,9.865921653300637e-9
27,4.999999999990336,4.999999999998195,4.999999999984027,10.000000000008036,4.999999999977104,4.999999999927336,1.8504284007216101e-10,-5.795964532272539e-10,-1.386240638005438e-9,2.1242010903983183e-9
28,4.999999999990744,4.999999999985984,4.999999999978219,10.000000000045834,4.999999999975587,4.999999999910894,2.2912471670328016e-10,-9.052954445872175e-9,-7.257719022564141e-10,-1.2115898528536675e-8
29,4.999999999991163,4.999999999997072,4.99999999997336,10.00000000002644,4.999999999990526,4.999999999885731,6.329616307187131e-11,-1.1027131403804782e-9,-6.439296687634469e-10,-2.920051090405672e-8
