iteration;primal_EOM;dual_EOM;rho_EOM
1;551.0224779246233;0.0;0.11000000000000001
2;371.9294648942475;7.819438014741662;0.12100000000000002
3;279.36475147221637;5.840928591533081;0.13310000000000002
4;214.75198231723138;5.057623981419631;0.14641000000000004
5;164.7107399947586;4.569340980256208;0.16105100000000006
6;127.38568893389584;3.9834015147177655;0.17715610000000007
7;103.60088771578981;3.260309516986285;0.1948717100000001
8;89.66685252542256;2.6646023746367327;0.2143588810000001
9;82.02393442869376;2.1788715214179315;0.23579476910000013
10;77.79954762987937;1.8063530737838918;0.25937424601000014
11;75.10888709883412;1.5452187577915975;0.28531167061100016
12;72.93881553956712;1.3758856600196074;0.3138428376721002
13;70.72268088965659;1.3374264568079346;0.3452271214393102
14;68.2558213643651;1.3771683218480177;0.37974983358324127
15;65.4499412422354;1.4986308588931463;0.41772481694156544
16;62.313590336452094;1.6745333820719943;0.45949729863572203
17;58.82828479072566;1.917964650384574;0.5054470284992942
18;55.07530447790088;2.151869538698742;0.5559917313492238
19;51.24594398277003;2.3428450057828485;0.6115909044841462
20;47.38499596097641;2.542276220085622;0.6727499949325609
21;43.539050914459814;2.742687100542913;0.740024994425817
22;39.74782814945746;2.9385359264057116;0.8140274938683988
23;36.05057326524222;3.1260139766908717;0.8954302432552388
24;32.48286689975677;3.3014111654228038;0.9849732675807628
25;29.077185715901503;3.4609343937886834;1.0834705943388392
26;25.856315880233954;3.6005179679980057;1.1918176537727232
27;22.840301062437714;3.7186925715708203;1.3109994191499956
28;20.04276633603948;3.812721155515111;1.4420993610649953
29;17.476711351862882;3.8813630360885187;1.586309297171495
30;15.14594460694367;3.923518136068847;1.7449402268886445
31;13.056136105717796;3.9392431127447307;1.919434249577509
32;11.203011795536291;3.9275941736005615;2.11137767453526
33;9.583322260106241;3.890070827418662;2.3225154419887866
34;8.191401502077905;3.8276132683180095;2.5547669861876656
35;7.017814310975677;3.7418680131751;2.5547669861876656
36;6.040270918193461;3.5236263597359634;2.5547669861876656
37;5.272444336035619;3.2969908548668276;2.5547669861876656
38;4.742240261178137;3.0655186784686355;2.5547669861876656
39;4.4567167440365685;2.832001982390017;2.5547669861876656
40;4.393106554353121;2.5991400953214354;2.5547669861876656
41;4.498008613758778;2.370062781292749;2.5547669861876656
42;4.707566322780738;2.14627230285846;2.8102436848064323
43;4.889091958302778;1.9059684476929344;3.0912680532870755
