agent,1,2,3,4,5,6,7,8,9
TypeA,-1752.7243209793269,-1754.0506305636186,-1751.8646761523585,-1764.667778251991,-1765.7658877739725,-1762.9010002335667,-1774.7458873116855,-1775.879111974393,-1773.6971660080367
TypeB,-1753.2704702126732,-1754.6898850303833,-1752.2996715276358,-1765.3503894408475,-1766.5621382866725,-1763.4677632590256,-1775.3013312456162,-1776.5197313460412,-1774.1525256185705
TypeC,-1036.5534992965495,-1040.614029284754,-1033.7995061348079,-1052.1186992892426,-1055.3696612527658,-1046.6957413586501,-1061.4652547930264,-1064.9842872703562,-1057.8302919267376
TypeD,-1039.7202087023784,-1044.1831728112993,-1036.6547792407036,-1054.0647087266566,-1057.5761271395559,-1048.3332373900962,-1063.6369353385721,-1067.7431084549444,-1059.5889890994126
