agent,1,2,3,4,5,6,7,8,9
TypeA,-1752.9040844963874,-1754.0699235567224,-1752.0147975346617,-1764.5251930100421,-1765.6019440050727,-1762.8049461684736,-1774.60553192897,-1775.809568555954,-1773.5233770506204
TypeB,-1753.8661832927057,-1754.8328270681104,-1752.8635881119708,-1765.089895896903,-1766.2725066364005,-1763.3153815388887,-1775.0745125234137,-1776.3847231403688,-1773.8591841716302
TypeC,-1039.3252674194414,-1042.9382024051797,-1036.29066859042,-1052.4174615057875,-1055.7295031960746,-1046.9025923411295,-1062.0577968686757,-1066.138840223096,-1058.1027336132065
TypeD,-1040.046371146815,-1042.6086849153135,-1036.9468535744413,-1051.852292665027,-1055.1543684578444,-1045.8995966591854,-1061.2250827660089,-1065.2761424894543,-1057.273776300581
