agent,1,2,3,4,5,6,7,8,9
TypeA,-1752.9335346193918,-1754.3174940134118,-1752.0422988931477,-1764.786323896009,-1765.9065211986504,-1763.0039656340016,-1774.9008226774163,-1776.128061863075,-1773.8090423653493
TypeB,-1753.88086702492,-1755.372015899398,-1752.8707283625338,-1765.6565632271768,-1766.895836212725,-1763.7544760670767,-1775.6809274730076,-1777.0412656338974,-1774.4458217956887
TypeC,-1039.55451464111,-1044.0661243059171,-1036.500354135048,-1053.5823705291207,-1057.0819378689066,-1047.8807451040163,-1063.421795804837,-1067.6325284499865,-1059.3919453321955
TypeD,-1040.5853419598657,-1045.2235790384475,-1037.4009878419274,-1054.5556395937488,-1058.1936201305653,-1048.7108041157803,-1064.3221382891106,-1068.6783443056552,-1060.1399964274497
